k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
3,5,1300005,3,22.049,23.2022,21.3025,1.6625,563,12,36,9,199.084,-97.991,50.0,51.71
3,2,1300002,3,9.7676,12.0072,10.3156,1.0023,269,12,36,9,-31.131,239.742,50.0,51.73
3,4,1300004,3,15.9679,16.822,15.2364,1.5279,582,12,35,9,123.224,-192.58,50.0,51.75
3,0,1300000,3,26.4695,27.5548,26.4455,0.9296,512,12,36,9,185.835,-123.418,50.0,51.78
3,3,1300003,3,62.1576,63.8164,62.2657,0.8033,469,12,36,9,171.051,-145.257,50.0,51.8
3,1,1300001,3,37.1523,38.9796,36.9312,1.5266,541,12,35,9,-259.016,21.71,50.0,51.83
3,7,1300007,3,36.6632,38.3555,36.8384,0.5777,257,12,34,9,217.489,34.623,50.0,51.55
3,6,1300006,3,10.6722,12.2488,10.6608,0.842,467,12,36,9,31.659,-234.374,50.0,51.63
3,8,1300008,3,14.2836,18.798,15.3423,2.3676,543,12,36,9,-223.842,-126.683,50.0,51.76
3,9,1300009,3,9.0259,10.006,8.7981,1.0673,546,12,35,9,74.81,220.479,50.0,51.78
3,11,1300011,3,12.8601,15.9411,13.2849,1.2322,572,12,36,9,-229.434,-117.207,50.0,51.75
3,10,1300010,3,19.3209,25.4576,20.3835,2.9049,531,12,34,9,-130.492,213.053,50.0,51.8
3,12,1300012,3,58.427,60.2424,58.6945,0.6897,462,12,36,9,-15.087,239.95,50.0,51.79
3,13,1300013,3,14.9806,15.3407,14.9201,0.3562,448,12,36,9,151.714,-167.673,50.0,51.77
3,14,1300014,3,18.1028,18.4735,17.0932,1.6236,564,12,36,9,170.657,145.773,50.0,51.62
3,15,1300015,3,37.1568,41.5073,37.6486,2.9431,570,12,36,9,-192.023,-167.356,50.0,51.58
3,16,1300016,3,30.5139,30.9392,30.349,0.506,490,12,35,9,-258.916,-22.787,50.0,51.79
3,20,1300020,3,37.3295,41.7031,38.5788,2.1934,568,12,35,9,-259.974,3.546,50.0,51.71
3,18,1300018,3,90.4761,93.9426,90.4793,2.6127,539,12,36,9,45.565,-230.87,50.0,51.79
3,17,1300017,3,11.1689,16.8536,12.1644,2.5199,525,12,35,9,132.615,185.226,50.0,51.81
3,19,1300019,3,22.6704,23.8635,22.7555,0.7107,382,12,36,9,211.941,61.672,50.0,51.78
3,21,1300021,3,13.134,15.3472,12.4883,2.3917,421,12,36,9,-254.301,-51.993,50.0,51.77
3,22,1300022,3,52.1148,52.9927,51.9222,0.7064,320,12,34,9,-121.52,217.471,50.0,51.56
3,23,1300023,3,25.6262,28.4547,25.7449,1.8658,483,12,36,9,-195.328,163.89,50.0,51.69
3,25,1300025,3,46.555,442.9721,77.1401,103.1464,593,12,34,9,-95.256,-227.896,50.0,51.75
3,27,1300027,3,64.6914,775.8003,138.7141,201.8984,557,12,34,9,-100.187,-226.208,50.0,51.76
3,28,1300028,3,17.9337,20.3569,17.3508,2.4817,560,12,35,9,-258.727,24.682,50.0,51.76
3,29,1300029,3,43.1841,47.5754,44.2142,1.8599,247,12,36,9,-197.424,-161.619,50.0,51.76
3,24,1300024,3,24.5613,30.2879,25.6371,3.179,522,12,36,9,-81.913,-231.877,50.0,51.87
3,26,1300026,3,23.6223,25.9273,24.363,1.0814,418,12,36,9,-202.014,-156.432,50.0,51.89
3,30,1300030,3,28.4564,30.9653,28.8947,1.5483,526,12,35,9,130.386,187.04,50.0,51.61
3,31,1300031,3,28.5256,30.7491,28.6897,0.9603,539,12,35,9,78.284,218.953,50.0,51.7
3,33,1300033,3,25.8475,27.7923,25.4325,2.0627,524,12,35,9,-257.372,35.419,50.0,51.66
3,35,1300035,3,12.4615,13.022,12.1561,0.729,550,12,36,9,176.374,137.975,50.0,51.72
3,34,1300034,3,14.1472,19.9245,15.2155,2.8669,539,12,35,9,-255.334,-47.095,50.0,51.77
3,32,1300032,3,12.7739,25.2597,14.4614,4.4334,569,12,36,9,174.2,-141.019,50.0,51.82
3,36,1300036,3,31.0546,31.1054,29.9733,1.3651,306,12,36,9,171.22,145.034,50.0,51.76
3,37,1300037,3,9.2913,13.9654,9.1665,3.9797,553,12,35,9,94.196,-211.09,50.0,51.74
3,38,1300038,3,21.2642,21.6523,20.7801,0.8501,517,12,35,9,117.671,-196.588,50.0,51.65
3,39,1300039,3,16.8621,18.7756,17.1202,0.8139,577,12,36,9,-10.553,239.814,50.0,51.69
3,40,1300040,3,6.7318,9.7001,7.501,1.2108,249,12,35,9,79.562,-218.374,50.0,51.69
3,43,1300043,3,29.341,30.1373,29.1462,0.9203,572,12,36,9,190.495,115.29,50.0,51.69
3,41,1300041,3,8.344,8.4778,7.9563,0.6588,579,12,36,9,201.572,-92.228,50.0,51.78
3,45,1300045,3,17.0045,18.9969,17.4138,1.0694,551,12,36,9,157.047,162.032,50.0,51.71
3,42,1300042,3,13.3233,17.3371,13.8443,2.6646,560,12,36,9,197.285,-101.918,50.0,51.8
3,44,1300044,3,10.5919,10.6505,10.1693,0.5413,358,12,35,9,125.948,-190.524,50.0,51.79
3,46,1300046,3,21.2868,22.7586,21.232,0.9186,557,12,33,9,99.737,207.998,50.0,51.39
3,47,1300047,3,26.3891,27.8203,26.7239,0.7699,560,12,36,9,140.89,178.086,50.0,51.49
3,48,1300048,3,23.3209,25.8238,23.8604,1.3,594,12,36,9,213.801,-54.193,50.0,51.27
3,49,1300049,3,15.0136,17.4121,14.7962,2.0615,580,12,34,9,-116.017,219.956,50.0,51.19
