trial,seed,n_events,rebal_latency_median,rebal_latency_max,over_cap_interval_median,over_cap_interval_max,pass_rebalance_per_event,pass_over_cap_per_event,mission_survived,total_attached_final,pass_trial,wall_time_s
1,1000001,3,29.7836,30.0852,20.9413,21.1955,1,1,True,40,False,129.42
0,1000000,3,29.894,29.8949,21.2166,29.6344,0,0,True,40,False,129.42
2,1000002,3,29.7614,29.9164,21.4061,29.5889,0,0,True,40,False,129.36
3,1000003,3,29.7913,30.0099,21.2515,29.3803,0,0,True,40,False,129.36
4,1000004,3,29.849,29.9354,29.6242,29.903,0,0,True,40,False,129.38
5,1000005,3,29.7958,29.8767,21.1045,21.3463,1,1,True,40,False,129.37
6,1000006,3,29.8702,29.9374,21.1035,21.1966,1,1,True,40,False,129.34
7,1000007,3,29.9167,29.9538,29.7716,29.8535,0,0,True,40,False,129.35
9,1000009,3,29.9056,29.9279,21.438,21.4402,0,0,True,40,False,129.34
8,1000008,3,29.8445,29.9822,21.3695,21.5331,1,1,True,40,False,129.36
10,1000010,3,29.8153,29.9189,21.0605,21.1567,1,1,True,40,False,129.36
11,1000011,3,29.8991,30.0041,21.5976,29.6572,0,0,True,40,False,129.39
12,1000012,3,2.4813,29.9253,2.6012,21.0215,2,2,True,40,False,129.36
13,1000013,3,29.8258,29.8779,29.6122,29.7176,0,0,True,40,False,129.34
14,1000014,3,29.8673,29.963,29.5844,29.8137,0,0,True,40,False,129.33
