scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S1,0,0,31.077806072309613,True,3,3,35.0,41.53
S1,0,1,31.078781456686556,True,3,3,35.0,41.53
S1,0,2,31.0769556267187,True,3,3,35.0,41.53
S1,1,0,31.024231925606728,True,3,3,35.0,41.43
S1,1,1,31.02315000258386,True,3,3,35.0,41.43
S1,1,2,31.025141270831227,True,3,3,35.0,41.43
S1,2,0,31.025102518498898,True,3,3,35.0,41.43
S1,2,1,31.026219280436635,True,3,3,35.0,41.43
S1,2,2,31.023857445456088,True,3,3,35.0,41.43
