tile_id,lat,lon,target_date,actual_date,scene_id,cloud_cover_pct,download_path
forest_blackforest,47.9,8.25,2025-09-15,2025-09-12,S2C_MSIL2A_20250912T101641_R065_T32UMU_20250912T155618,40.213108,phase9-acquisition/forest_blackforest/dt_20250912.png
forest_vienna_hills,48.25,16.35,2024-03-15,2024-03-15,S2A_MSIL2A_20240315T100031_R122_T33UXP_20240315T134038,53.126371,phase9-acquisition/forest_vienna_hills/dt_20240315.png
forest_vienna_hills,48.25,16.35,2024-06-15,2024-06-15,S2B_MSIL2A_20240615T094549_R079_T33UWP_20240615T135709,3.249729,phase9-acquisition/forest_vienna_hills/dt_20240615.png
forest_vienna_hills,48.25,16.35,2024-09-15,2024-09-11,S2A_MSIL2A_20240911T100021_R122_T33UWP_20240911T143249,38.691971,phase9-acquisition/forest_vienna_hills/dt_20240911.png
forest_vienna_hills,48.25,16.35,2024-12-15,2024-12-12,S2B_MSIL2A_20241212T095319_R079_T33UWP_20241212T115616,51.335901,phase9-acquisition/forest_vienna_hills/dt_20241212.png
forest_vienna_hills,48.25,16.35,2025-03-15,2025-03-12,S2B_MSIL2A_20250312T095029_R079_T33UXP_20250312T124423,25.289106,phase9-acquisition/forest_vienna_hills/dt_20250312.png
forest_vienna_hills,48.25,16.35,2025-09-15,2025-09-15,S2A_MSIL2A_20250915T095041_R079_T33UXP_20250915T114213,35.315385,phase9-acquisition/forest_vienna_hills/dt_20250915.png
mixed_geneva,46.2044,6.1432,2024-03-15,2024-03-14,S2A_MSIL2A_20240314T102811_R108_T31TGM_20240314T181216,11.589333,phase9-acquisition/mixed_geneva/dt_20240314.png
mixed_geneva,46.2044,6.1432,2024-06-15,2024-06-15,S2A_MSIL2A_20240615T104031_R008_T31TGM_20240615T191636,30.268756,phase9-acquisition/mixed_geneva/dt_20240615.png
mixed_geneva,46.2044,6.1432,2024-09-15,2024-09-20,S2A_MSIL2A_20240920T102721_R108_T31TGM_20240920T145352,7.946229,phase9-acquisition/mixed_geneva/dt_20240920.png
mixed_geneva,46.2044,6.1432,2024-12-15,2024-12-12,S2A_MSIL2A_20241212T104441_R008_T31TGM_20241212T150047,35.939378,phase9-acquisition/mixed_geneva/dt_20241212.png
mixed_geneva,46.2044,6.1432,2025-03-15,2025-03-19,S2C_MSIL2A_20250319T102801_R108_T31TGM_20250319T164713,0.532088,phase9-acquisition/mixed_geneva/dt_20250319.png
mixed_geneva,46.2044,6.1432,2025-09-15,2025-09-15,S2C_MSIL2A_20250915T103041_R108_T31TGM_20250915T174614,27.794024,phase9-acquisition/mixed_geneva/dt_20250915.png
mixed_innsbruck,47.2692,11.4041,2024-03-15,2024-03-11,S2A_MSIL2A_20240311T101831_R065_T32TPT_20240313T122751,37.626991,phase9-acquisition/mixed_innsbruck/dt_20240311.png
mixed_innsbruck,47.2692,11.4041,2024-06-15,2024-06-19,S2A_MSIL2A_20240619T102031_R065_T32TPT_20240619T221521,5.776178,phase9-acquisition/mixed_innsbruck/dt_20240619.png
mixed_innsbruck,47.2692,11.4041,2024-09-15,2024-09-07,S2A_MSIL2A_20240907T102021_R065_T32TPT_20240907T143052,0.01421,phase9-acquisition/mixed_innsbruck/dt_20240907.png
mixed_innsbruck,47.2692,11.4041,2024-12-15,2024-12-13,S2A_MSIL2A_20241213T101431_R022_T32TPT_20241213T120749,13.80811,phase9-acquisition/mixed_innsbruck/dt_20241213.png
mixed_innsbruck,47.2692,11.4041,2025-03-15,2025-03-18,S2A_MSIL2A_20250318T101751_R065_T32TPT_20250318T160400,0.344844,phase9-acquisition/mixed_innsbruck/dt_20250318.png
mixed_innsbruck,47.2692,11.4041,2025-09-15,2025-09-19,S2C_MSIL2A_20250919T101041_R022_T32TPT_20250919T155120,0.002536,phase9-acquisition/mixed_innsbruck/dt_20250919.png
