k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
3,1,1300001,3,1.4992,3.3226,1.5797,0.9772,589,12,35,9,-259.016,21.71,50.0,51.16
3,0,1300000,3,1.3273,1.3371,1.3279,0.0057,585,12,36,9,185.835,-123.418,50.0,51.17
3,2,1300002,3,0.8273,0.8357,0.8282,0.0035,594,12,36,9,-31.131,239.742,50.0,51.11
