k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,5,1000005,0,14.2892,14.9708,14.3524,0.7941,600,3,3,0,20.0,0.0,50.0,50.66
0,7,1000007,0,10.0186,12.79,9.367,3.0004,600,3,3,0,20.0,0.0,50.0,50.66
0,1,1000001,0,15.2761,16.9022,14.6129,2.0632,600,3,3,0,20.0,0.0,50.0,50.69
0,6,1000006,0,16.9433,19.0162,17.3768,1.1871,600,3,3,0,20.0,0.0,50.0,50.69
0,3,1000003,0,11.8732,20.4786,14.4582,4.2884,600,3,3,0,20.0,0.0,50.0,50.69
0,2,1000002,0,20.4595,22.5408,20.0485,2.3112,600,3,3,0,20.0,0.0,50.0,50.69
0,0,1000000,0,19.6814,23.7691,20.5977,1.8775,600,3,3,0,20.0,0.0,50.0,50.69
0,4,1000004,0,5.012,21.6003,9.4995,7.1506,600,3,3,0,20.0,0.0,50.0,50.69
0,8,1000008,0,10.8268,11.5193,10.9173,0.4318,600,3,3,0,20.0,0.0,50.0,50.63
0,9,1000009,0,12.1188,14.81,12.7735,1.4767,600,3,3,0,20.0,0.0,50.0,50.64
0,11,1000011,0,33.5684,39.2295,32.5695,6.026,600,3,3,0,20.0,0.0,50.0,50.62
0,12,1000012,0,23.0895,27.5879,22.2327,4.8509,600,3,3,0,20.0,0.0,50.0,50.63
0,13,1000013,0,11.1915,16.64,11.7803,2.5918,600,3,3,0,20.0,0.0,50.0,50.64
0,14,1000014,0,20.8324,32.6793,24.4871,5.7478,600,3,3,0,20.0,0.0,50.0,50.64
0,15,1000015,0,10.8133,14.5308,11.4031,2.3643,600,3,3,0,20.0,0.0,50.0,50.64
0,10,1000010,0,7.5197,16.4764,10.6344,4.3678,600,3,3,0,20.0,0.0,50.0,50.65
0,16,1000016,0,15.0911,17.2543,14.6236,2.4297,600,3,3,0,20.0,0.0,50.0,50.61
0,17,1000017,0,9.8146,11.195,10.4499,1.0938,600,3,3,0,20.0,0.0,50.0,50.61
