k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
3,0,1300000,3,9.5858,9.5892,9.5853,0.003,585,12,36,9,185.835,-123.418,50.0,51.16
3,1,1300001,3,10.0641,10.541,10.079,0.2243,577,12,35,9,-259.016,21.71,50.0,51.18
3,2,1300002,3,3.8003,68.4816,10.3261,25.579,593,12,36,9,-31.131,239.742,50.0,51.19
3,3,1300003,3,6.1788,6.1826,6.1785,0.0029,597,12,36,9,171.051,-145.257,50.0,51.19
3,4,1300004,3,6.9683,9.0785,7.2234,0.7582,585,12,35,9,123.224,-192.58,50.0,51.16
