scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S1,10,4,6.051772797945887,True,3,10,15.0,16.73
S1,10,5,6.030762800015509,True,3,10,15.0,16.73
S1,10,6,6.080446279142052,True,3,10,15.0,16.73
S1,10,7,6.028531990945339,True,3,10,15.0,16.73
S1,10,8,6.057265182025731,True,3,10,15.0,16.73
S1,10,9,6.160618191584945,True,3,10,15.0,16.73
S1,9,0,6.022692098747939,True,3,10,15.0,16.83
S1,9,1,6.165289559867233,True,3,10,15.0,16.83
S1,9,2,6.124970944132656,True,3,10,15.0,16.83
S1,9,3,6.138168899808079,True,3,10,15.0,16.83
S1,9,4,6.1039945357479155,True,3,10,15.0,16.83
S1,9,5,6.036626231390983,True,3,10,15.0,16.83
S1,9,6,6.127330093178898,True,3,10,15.0,16.83
S1,9,7,6.077392763923854,True,3,10,15.0,16.83
S1,9,8,6.092674930114299,True,3,10,15.0,16.83
S1,9,9,6.0667365663684905,True,3,10,15.0,16.83
S1,11,0,6.101042250171304,True,3,10,15.0,16.81
S1,11,1,6.021431564819068,True,3,10,15.0,16.81
S1,11,2,6.125626381020993,True,3,10,15.0,16.81
S1,11,3,6.0702137988992035,True,3,10,15.0,16.81
S1,11,4,6.136985286138952,True,3,10,15.0,16.81
S1,11,5,6.07220767904073,True,3,10,15.0,16.81
S1,11,6,6.154028504155576,True,3,10,15.0,16.81
S1,11,7,6.167189749889076,True,3,10,15.0,16.81
S1,11,8,6.017031996045262,True,3,10,15.0,16.81
S1,11,9,6.036257904022932,True,3,10,15.0,16.81
S1,12,0,6.040503642056137,True,3,10,15.0,16.64
S1,12,1,6.027692144270986,True,3,10,15.0,16.64
S1,12,2,6.049111301079392,True,3,10,15.0,16.64
S1,12,3,6.17787859775126,True,3,10,15.0,16.64
S1,12,4,6.078443867620081,True,3,10,15.0,16.64
S1,12,5,6.011886930093169,True,3,10,15.0,16.64
S1,12,6,6.0453014192171395,True,3,10,15.0,16.64
S1,12,7,6.012301479000598,True,3,10,15.0,16.64
S1,12,8,6.176794893108308,True,3,10,15.0,16.64
S1,12,9,6.0849616271443665,True,3,10,15.0,16.64
S1,13,0,6.095846054609865,True,3,10,15.0,16.66
S1,13,1,6.101168077904731,True,3,10,15.0,16.66
S1,13,2,6.0616811802610755,True,3,10,15.0,16.66
S1,13,3,6.06027402728796,True,3,10,15.0,16.66
S1,13,4,6.11543497024104,True,3,10,15.0,16.66
S1,13,5,6.087732434272766,True,3,10,15.0,16.66
S1,13,6,6.0862650610506535,True,3,10,15.0,16.66
S1,13,7,6.0316669046878815,True,3,10,15.0,16.66
S1,13,8,6.084614277817309,True,3,10,15.0,16.66
S1,13,9,6.067588560748845,True,3,10,15.0,16.66
S1,14,0,6.14686886779964,True,3,10,15.0,16.76
S1,14,1,6.181614720262587,True,3,10,15.0,16.76
S1,14,2,6.10178726632148,True,3,10,15.0,16.76
S1,14,3,6.1891644932329655,True,3,10,15.0,16.76
S1,14,4,6.169292239006609,True,3,10,15.0,16.76
S1,14,5,6.006118608172983,True,3,10,15.0,16.76
S1,14,6,6.05708062229678,True,3,10,15.0,16.76
S1,14,7,6.009976020082831,True,3,10,15.0,16.76
S1,14,8,6.015946721192449,True,3,10,15.0,16.76
S1,14,9,6.064703264739364,True,3,10,15.0,16.76
S1,15,0,6.083269584923983,True,3,10,15.0,16.79
S1,15,1,6.098502921871841,True,3,10,15.0,16.79
S1,15,2,6.112141536083072,True,3,10,15.0,16.79
S1,15,3,6.193395632784814,True,3,10,15.0,16.79
