k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
3,1,1300001,3,1.4688,2.873,1.3799,0.6254,597,12,35,9,-259.016,21.71,50.0,51.22
3,0,1300000,3,1.32,1.327,1.3205,0.0043,597,12,36,9,185.835,-123.418,50.0,51.27
3,2,1300002,3,0.825,0.8352,0.8249,0.0051,449,12,36,9,-31.131,239.742,50.0,51.2
3,3,1300003,3,0.9376,0.9533,0.9408,0.0083,599,12,36,9,171.051,-145.257,50.0,51.19
3,4,1300004,3,0.8035,0.8226,0.8338,0.6085,582,12,35,9,123.224,-192.58,50.0,51.11
