trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
54,honest,0.3,1.0,40,0.0,0.0,0.0,tile_47.4065_8.5520_47.4100_8.5575.png,,6.8
55,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.8
56,honest,0.3,1.0,40,-15.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,,6.8
57,honest,0.3,0.475,19,0.0,1.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,,6.8
58,honest,0.3,1.0,40,-15.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.9
59,honest,0.3,0.525,21,0.0,1.0,0.0,tile_47.4010_8.5410_47.4065_8.5465.png,,6.8
60,honest,0.3,0.6,24,0.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.8
61,honest,0.3,1.0,40,0.0,0.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.8
62,honest,0.3,0.3,12,15.0,1.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.8
63,honest,0.3,0.3,12,15.0,1.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.8
64,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,,6.8
65,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,,6.8
66,honest,0.3,1.0,40,-15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,6.8
67,honest,0.3,0.65,26,0.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,6.7
68,honest,0.3,0.55,22,15.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,6.8
69,honest,0.3,1.0,40,0.0,0.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,6.7
70,honest,0.3,1.0,40,0.0,0.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,6.7
71,honest,0.3,1.0,40,15.0,0.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,6.7
72,honest,0.3,0.45,18,15.0,1.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,,7.1
73,honest,0.3,1.0,40,-15.0,0.0,0.0,tile_47.4010_8.5410_47.4065_8.5465.png,,6.8
74,honest,0.3,0.45,18,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.8
75,honest,0.3,0.4,16,15.0,1.0,0.0,tile_47.3955_8.5300_47.4010_8.5355.png,,6.8
76,honest,0.3,1.0,40,0.0,0.0,0.0,tile_47.3955_8.5355_47.4010_8.5410.png,,6.7
77,honest,0.3,0.45,18,0.0,1.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,,6.7
78,honest,0.3,0.5,20,-15.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,6.7
79,honest,0.3,0.975,39,-15.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,6.7
