trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
54,honest,0.3,0.1,2,45.0,4.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,7.4
55,honest,0.3,0.1,2,45.0,4.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,7.5
56,honest,0.3,1.0,20,45.0,0.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,,7.4
57,honest,0.3,1.0,20,45.0,0.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,,7.4
58,honest,0.3,0.85,17,-45.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,7.4
59,honest,0.3,0.0,0,0.0,4.0,0.2,tile_47.3955_8.5575_47.4010_8.5630.png,,7.7
60,honest,0.3,0.3,6,0.0,0.0,0.2,tile_47.4065_8.5355_47.4100_8.5410.png,,7.6
61,honest,0.3,0.0,0,45.0,4.0,0.2,tile_47.4010_8.5520_47.4065_8.5575.png,,7.5
62,honest,0.3,0.25,5,-45.0,4.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,,7.5
63,honest,0.3,0.75,15,45.0,0.0,0.2,tile_47.3955_8.5300_47.4010_8.5355.png,,7.4
64,honest,0.3,0.05,1,-45.0,4.0,0.2,tile_47.3955_8.5410_47.4010_8.5465.png,,7.5
65,honest,0.3,0.05,1,45.0,4.0,0.0,tile_47.4010_8.5465_47.4065_8.5520.png,,7.4
66,honest,0.3,1.0,20,45.0,0.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,7.4
67,honest,0.3,0.9,18,-45.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,7.4
68,honest,0.3,0.35,7,0.0,0.0,0.2,tile_47.3955_8.5575_47.4010_8.5630.png,,7.3
69,honest,0.3,0.05,1,0.0,4.0,0.2,tile_47.3900_8.5465_47.3955_8.5520.png,,7.5
70,honest,0.3,0.15,3,0.0,4.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,7.4
71,honest,0.3,1.0,20,0.0,0.0,0.2,tile_47.3955_8.5410_47.4010_8.5465.png,,7.4
72,honest,0.3,0.05,1,45.0,4.0,0.0,tile_47.3900_8.5685_47.3955_8.5700.png,,7.4
73,honest,0.3,0.9,18,-45.0,0.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,7.4
74,honest,0.3,0.75,15,45.0,0.0,0.2,tile_47.3955_8.5300_47.4010_8.5355.png,,7.4
75,honest,0.3,0.8,16,0.0,0.0,0.2,tile_47.3955_8.5575_47.4010_8.5630.png,,7.4
76,honest,0.3,0.7,14,45.0,0.0,0.2,tile_47.4065_8.5410_47.4100_8.5465.png,,7.7
77,honest,0.3,0.9,18,-45.0,0.0,0.0,tile_47.3955_8.5465_47.4010_8.5520.png,,7.4
78,honest,0.3,1.0,20,0.0,0.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,,7.6
79,honest,0.3,1.0,20,0.0,0.0,0.2,tile_47.3955_8.5410_47.4010_8.5465.png,,7.7
80,honest,0.3,0.0,0,-45.0,4.0,0.0,tile_47.4065_8.5630_47.4100_8.5685.png,,7.7
81,honest,0.3,0.55,11,-45.0,0.0,0.2,tile_47.4010_8.5630_47.4065_8.5685.png,,7.6
82,honest,0.3,0.75,15,-45.0,0.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,7.6
83,honest,0.3,0.3,6,0.0,4.0,0.2,tile_47.3900_8.5520_47.3955_8.5575.png,,7.5
84,honest,0.3,0.05,1,0.0,4.0,0.2,tile_47.3900_8.5355_47.3955_8.5410.png,,7.5
85,honest,0.3,0.1,2,-45.0,4.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.8
86,honest,0.3,0.0,0,45.0,4.0,0.2,tile_47.4010_8.5520_47.4065_8.5575.png,,7.6
