trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
648,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.3955_8.5465_47.4010_8.5520.png,tile_47.3955_8.5685_47.4010_8.5700.png,7.1
649,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.3955_8.5630_47.4010_8.5685.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.0
650,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.4065_8.5410_47.4100_8.5465.png,7.0
651,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.1
652,byzantine,0.3,0.0,0,0.0,2.0,0.1,tile_47.3955_8.5685_47.4010_8.5700.png,tile_47.4010_8.5300_47.4065_8.5355.png,7.0
653,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.3900_8.5685_47.3955_8.5700.png,tile_47.4065_8.5685_47.4100_8.5700.png,7.1
654,byzantine,0.3,0.0,0,0.0,0.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,tile_47.4065_8.5410_47.4100_8.5465.png,7.1
655,byzantine,0.3,0.0,0,-30.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,tile_47.3900_8.5410_47.3955_8.5465.png,7.0
656,byzantine,0.3,0.0,0,30.0,2.0,0.0,tile_47.3955_8.5355_47.4010_8.5410.png,tile_47.4065_8.5465_47.4100_8.5520.png,7.1
657,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.3900_8.5520_47.3955_8.5575.png,tile_47.3900_8.5410_47.3955_8.5465.png,7.0
658,byzantine,0.3,0.0,0,30.0,2.0,0.1,tile_47.4065_8.5575_47.4100_8.5630.png,tile_47.4065_8.5630_47.4100_8.5685.png,7.1
659,byzantine,0.3,0.0,0,0.0,0.0,0.1,tile_47.3955_8.5355_47.4010_8.5410.png,tile_47.3900_8.5520_47.3955_8.5575.png,7.0
660,byzantine,0.3,0.0,0,30.0,0.0,0.1,tile_47.4010_8.5630_47.4065_8.5685.png,tile_47.4065_8.5575_47.4100_8.5630.png,7.0
