trial_id,label,t_verify_used,V_score,n_matches,sun_shift,blur_sigma,occl_frac,honest_tile,byzantine_tile,inference_ms
0,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,273.1
1,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.2
2,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3900_8.5410_47.3955_8.5465.png,,7.0
3,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,7.0
4,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,,7.0
5,honest,0.3,0.7,7,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,7.0
6,honest,0.3,0.5,5,-15.0,1.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,7.2
7,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,7.4
8,honest,0.3,0.7,7,-15.0,1.0,0.0,tile_47.4010_8.5630_47.4065_8.5685.png,,7.5
9,honest,0.3,0.2,2,0.0,1.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,7.1
10,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,6.9
11,honest,0.3,0.9,9,15.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.9
12,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,6.8
13,honest,0.3,1.0,10,0.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,6.9
14,honest,0.3,0.5,5,0.0,1.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,6.9
15,honest,0.3,0.9,9,-15.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,6.9
16,honest,0.3,0.6,6,15.0,1.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,7.0
17,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.4065_8.5575_47.4100_8.5630.png,,7.0
18,honest,0.3,0.4,4,0.0,1.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,,7.0
19,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.4010_8.5520_47.4065_8.5575.png,,7.0
20,honest,0.3,0.9,9,0.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,7.0
21,honest,0.3,0.8,8,15.0,1.0,0.0,tile_47.4065_8.5685_47.4100_8.5700.png,,7.0
22,honest,0.3,0.7,7,0.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,6.9
23,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,,6.9
24,honest,0.3,0.8,8,15.0,1.0,0.0,tile_47.3955_8.5630_47.4010_8.5685.png,,6.9
25,honest,0.3,0.4,4,-15.0,1.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.9
26,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,,6.9
27,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.4065_8.5300_47.4100_8.5355.png,,6.9
28,honest,0.3,0.7,7,15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.9
29,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.4010_8.5575_47.4065_8.5630.png,,6.9
30,honest,0.3,0.7,7,-15.0,1.0,0.0,tile_47.3955_8.5410_47.4010_8.5465.png,,7.1
31,honest,0.3,1.0,10,0.0,0.0,0.0,tile_47.3955_8.5465_47.4010_8.5520.png,,6.9
32,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.9
33,honest,0.3,0.7,7,-15.0,1.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.9
34,honest,0.3,0.5,5,15.0,1.0,0.0,tile_47.3900_8.5355_47.3955_8.5410.png,,6.9
35,honest,0.3,0.9,9,-15.0,1.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,,6.8
36,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,7.2
37,honest,0.3,0.7,7,15.0,1.0,0.0,tile_47.3955_8.5300_47.4010_8.5355.png,,6.9
38,honest,0.3,0.7,7,-15.0,1.0,0.0,tile_47.4010_8.5300_47.4065_8.5355.png,,6.9
39,honest,0.3,0.9,9,15.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.8
40,honest,0.3,0.5,5,15.0,1.0,0.0,tile_47.4010_8.5685_47.4065_8.5700.png,,6.8
41,honest,0.3,0.9,9,0.0,1.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,,6.9
42,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5355_47.3955_8.5410.png,,6.9
43,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.9
44,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,,6.9
45,honest,0.3,0.9,9,-15.0,1.0,0.0,tile_47.3955_8.5685_47.4010_8.5700.png,,6.8
46,honest,0.3,0.7,7,0.0,1.0,0.0,tile_47.3955_8.5300_47.4010_8.5355.png,,6.8
47,honest,0.3,0.7,7,15.0,1.0,0.0,tile_47.4065_8.5630_47.4100_8.5685.png,,6.8
48,honest,0.3,1.0,10,0.0,0.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,6.8
49,honest,0.3,0.6,6,15.0,1.0,0.0,tile_47.4065_8.5465_47.4100_8.5520.png,,6.8
50,honest,0.3,0.8,8,0.0,1.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,6.8
51,honest,0.3,0.9,9,-15.0,1.0,0.0,tile_47.3900_8.5630_47.3955_8.5685.png,,6.8
52,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.4065_8.5520_47.4100_8.5575.png,,6.8
53,honest,0.3,0.5,5,-15.0,1.0,0.0,tile_47.4010_8.5355_47.4065_8.5410.png,,6.8
54,honest,0.3,1.0,10,0.0,0.0,0.0,tile_47.4065_8.5520_47.4100_8.5575.png,,6.8
55,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.8
56,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.4065_8.5410_47.4100_8.5465.png,,6.8
57,honest,0.3,0.6,6,0.0,1.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,,6.8
58,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5300_47.3955_8.5355.png,,6.8
59,honest,0.3,0.7,7,0.0,1.0,0.0,tile_47.4010_8.5410_47.4065_8.5465.png,,6.8
60,honest,0.3,0.9,9,0.0,1.0,0.0,tile_47.3955_8.5520_47.4010_8.5575.png,,6.8
61,honest,0.3,1.0,10,0.0,0.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.8
62,honest,0.3,0.4,4,15.0,1.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.9
63,honest,0.3,0.4,4,15.0,1.0,0.0,tile_47.3900_8.5465_47.3955_8.5520.png,,6.8
64,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.3900_8.5520_47.3955_8.5575.png,,6.8
65,honest,0.3,1.0,10,15.0,0.0,0.0,tile_47.4065_8.5355_47.4100_8.5410.png,,6.8
66,honest,0.3,1.0,10,-15.0,0.0,0.0,tile_47.3900_8.5575_47.3955_8.5630.png,,6.8
67,honest,0.3,0.9,9,0.0,1.0,0.0,tile_47.3955_8.5575_47.4010_8.5630.png,,6.7
