k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,53,1000053,0,0.4551,0.5174,0.3888,0.1433,600,3,3,0,20.0,0.0,50.0,50.59
0,52,1000052,0,0.3763,0.4255,0.3157,0.1243,600,3,3,0,20.0,0.0,50.0,50.59
0,49,1000049,0,0.5315,0.7054,0.5502,0.1199,600,3,3,0,20.0,0.0,50.0,50.62
0,54,1000054,0,0.5789,0.8191,0.6462,0.1234,600,3,3,0,20.0,0.0,50.0,50.6
0,55,1000055,0,0.5115,0.839,0.5409,0.2335,600,3,3,0,20.0,0.0,50.0,50.6
0,51,1000051,0,0.328,0.4348,0.3286,0.0859,600,3,3,0,20.0,0.0,50.0,50.63
0,59,1000059,0,0.6549,0.668,0.5334,0.1812,600,3,3,0,20.0,0.0,50.0,50.6
0,57,1000057,0,0.381,0.6881,0.4638,0.1628,600,3,3,0,20.0,0.0,50.0,50.63
0,63,1000063,0,1.0164,1.0817,1.0101,0.064,600,3,3,0,20.0,0.0,50.0,50.6
0,60,1000060,0,0.4714,0.5115,0.4771,0.0321,600,3,3,0,20.0,0.0,50.0,50.62
0,56,1000056,0,0.4801,0.5982,0.5097,0.0694,600,3,3,0,20.0,0.0,50.0,50.65
0,62,1000062,0,1.4647,1.4792,1.3267,0.2052,600,3,3,0,20.0,0.0,50.0,50.62
0,58,1000058,0,0.9757,1.0683,0.8811,0.2026,600,3,3,0,20.0,0.0,50.0,50.64
0,61,1000061,0,0.4153,0.4787,0.3713,0.1102,600,3,3,0,20.0,0.0,50.0,50.63
0,64,1000064,0,0.2872,0.4779,0.3184,0.1208,600,3,3,0,20.0,0.0,50.0,50.61
0,65,1000065,0,0.3691,0.486,0.4012,0.061,600,3,3,0,20.0,0.0,50.0,50.63
0,66,1000066,0,0.4652,0.5108,0.4364,0.0745,600,3,3,0,20.0,0.0,50.0,50.63
0,67,1000067,0,0.4963,0.598,0.4529,0.1391,600,3,3,0,20.0,0.0,50.0,50.63
0,68,1000068,0,0.7126,0.8049,0.6539,0.1539,600,3,3,0,20.0,0.0,50.0,50.64
