observer,target,t_exclusion_s,n_voters,min_voter_r
4,6,5.690185369923711,5,1.0
4,7,5.738592099864036,5,1.0
6,6,5.751373665872961,6,1.0
6,7,5.752980829915032,6,1.0
7,6,5.767289526993409,6,1.0
7,7,5.76887429994531,6,1.0
0,6,5.773105595028028,5,1.0
0,7,5.774678296875209,5,1.0
5,6,5.776264579966664,5,1.0
5,7,5.777797081973404,5,1.0
2,6,5.875464817043394,5,1.0
2,7,5.877076699864119,5,1.0
1,6,5.8816839249338955,5,1.0
1,7,5.883241446921602,5,1.0
3,6,5.8903624198865145,5,1.0
3,7,5.891924682073295,5,1.0
