t_s,reporter,target,reason
10.49704479216598,1,2,1
10.686941917985678,1,2,1
10.700070145074278,1,0,1
10.713497390039265,1,3,1
10.726563164032996,1,5,1
10.741404069121927,1,10,2
10.754055391997099,1,11,2
10.764979198109359,1,5,1
10.775535503169522,1,10,2
10.78657852113247,1,11,2
10.788693760056049,10,2,1
11.092927400022745,10,2,1
11.119395670015365,10,0,1
11.183155281003565,10,3,1
11.196750220144168,10,1,1
11.222249872982502,10,5,1
11.235186513978988,10,11,2
11.246369756991044,10,5,1
11.257290782174096,10,11,2
12.315117706079036,9,2,1
12.798106909962371,9,2,1
12.82354558003135,9,0,1
12.846842851024121,9,3,1
12.864537914982066,9,1,1
12.883594738086686,9,5,1
12.896760256029665,9,10,2
12.91042645694688,9,11,2
12.92286649509333,9,5,1
12.933690287172794,9,10,2
12.945025393972173,9,11,2
13.288679055171087,8,2,1
13.369375790003687,7,2,1
13.49582867207937,11,2,1
13.574571623001248,0,2,1
13.594722626032308,7,2,1
13.612254026113078,7,0,1
13.675497211981565,7,3,1
13.681712205987424,8,2,1
13.698743442073464,7,1,1
13.702285631094128,8,0,1
13.770834645954892,7,5,1
13.776173084974289,8,3,1
13.797351747052744,7,10,2
13.803455877117813,8,1,1
13.803993202047423,11,2,1
13.80799841415137,9,4,1
13.812026386149228,7,11,2
13.876190099166706,9,4,1
13.877987689105794,7,5,1
13.879182543139905,11,0,1
13.88053495110944,8,5,1
13.898530984064564,6,2,1
13.899977594148368,3,2,1
13.903183524031192,7,10,2
13.906686531146988,8,10,2
13.907285107998177,0,2,1
13.908681917004287,9,12,2
13.909217352047563,11,3,1
13.916246419074014,7,11,2
13.973050635075197,13,2,1
13.984869545092806,9,12,2
13.988348143175244,8,11,2
13.989214956993237,11,1,1
13.989780753152445,0,3,1
13.990724659059197,4,2,1
14.005481400992721,8,5,1
14.007955860113725,11,5,1
14.010374787962064,0,1,1
14.024089121026918,8,10,2
14.026622692123055,0,5,1
14.027688542148098,11,10,2
14.082902875030413,5,2,1
14.083946084138006,8,11,2
14.086224727099761,11,5,1
14.092599566094577,0,10,2
14.101446822984144,11,10,2
14.102710328064859,10,4,1
14.104079155949876,5,0,1
14.11010491498746,7,4,1
14.110633959062397,0,11,2
14.175149012124166,0,5,1
14.175978905055672,10,4,1
14.178028861992061,11,4,1
14.179652746999636,7,4,1
14.18367268005386,8,4,1
14.184138713171706,6,11,2
14.202381212962791,0,10,2
14.207526376005262,11,4,1
14.20860949717462,8,4,1
14.209820250049233,1,4,1
14.210824077948928,10,9,1
14.211601760005578,7,9,1
14.212339970981702,13,11,2
14.269576100166887,6,5,1
14.2706972011365,12,2,1
14.271667288150638,0,11,2
14.272421090165153,11,9,1
14.287434458034113,2,0,1
14.300369119970128,7,12,2
14.30312874703668,1,4,1
14.370507190003991,12,0,1
14.371128257131204,13,5,1
14.37168378313072,11,12,2
14.372149306116626,10,12,2
14.372605978045613,8,9,1
14.373081492027268,0,4,1
14.373538024025038,6,10,2
14.373989057028666,2,3,1
14.37444533011876,9,7,1
14.377072653034702,4,11,2
14.399944172007963,7,12,2
14.4058730781544,11,12,2
14.407247746130452,0,4,1
14.47140711802058,10,12,2
14.472707204986364,8,12,2
14.47340908413753,2,1,1
14.47405901295133,13,10,2
14.47462533810176,3,11,2
14.478950808988884,4,5,1
14.479324150132015,6,11,2
14.485364738153294,1,9,1
14.492970241000876,9,7,1
14.49341045296751,7,9,1
14.493914487073198,11,9,1
14.494438442168757,10,9,1
14.502901938045397,13,11,2
14.503634439082816,0,9,1
14.503990798955783,8,12,2
14.569051987025887,4,10,2
14.571832375135273,6,4,1
14.572363469051197,1,12,2
14.572821922134608,2,9,1
14.574965832056478,3,5,1
14.57578151510097,12,11,2
14.599849086953327,8,9,1
14.602320756064728,4,11,2
14.60367092397064,5,10,2
14.604229968972504,6,4,1
14.604691082146019,1,12,2
14.606451940955594,0,12,2
14.607073679100722,10,7,1
14.607672285055742,7,6,1
14.608464668039232,13,4,1
14.609961029142141,3,10,2
14.610584706999362,12,4,1
14.67192991101183,8,7,1
14.68520874204114,1,9,1
14.685719756176695,7,6,1
14.686140238074586,6,9,1
14.686557710170746,4,9,1
14.686982981162146,10,7,1
14.687402433017269,0,12,2
14.687998309964314,12,4,1
14.6886150771752,13,4,1
14.689165682066232,3,11,2
14.689591764006764,5,11,2
14.772494819946587,10,6,1
14.773049416020513,4,12,2
14.773483998142183,12,9,1
14.77390271006152,0,9,1
14.774314511101693,5,4,1
14.7749170481693,7,8,1
14.775739541044459,3,4,1
14.777920402120799,6,12,2
14.778347044019029,1,7,1
14.778762534959242,13,9,1
14.805498901987448,10,6,1
14.806906792102382,12,9,1
14.807322113076225,7,8,1
14.80794543097727,6,12,2
14.808539617108181,4,12,2
14.80933519010432,3,4,1
14.810155953047797,5,4,1
14.811141000129282,1,7,1
14.811773928115144,13,12,2
14.812299362150952,11,7,1
14.869012117153034,9,6,1
14.882883475162089,6,9,1
14.884460099041462,10,8,1
14.88650335604325,11,7,1
14.887376180151477,12,7,1
14.88842023909092,13,12,2
14.889004515949637,4,9,1
14.88949301908724,5,9,1
14.890093536116183,9,6,1
14.89249645313248,3,9,1
14.97059256513603,12,7,1
14.972015655133873,11,6,1
14.972478308016434,5,12,2
14.972926770104095,3,12,2
14.97338210302405,10,8,1
14.974279988091439,13,9,1
14.974743361119181,6,7,1
14.976913872174919,9,8,1
14.97734891413711,0,7,1
14.977771446108818,4,7,1
15.00120712001808,11,6,1
15.002503477036953,12,6,1
15.003258268116042,3,12,2
15.004007439129055,5,12,2
15.00468140700832,0,7,1
15.005283774109557,9,8,1
15.005846139974892,4,7,1
15.006404216168448,2,12,2
15.006994242081419,13,7,1
15.073284834157676,3,9,1
15.07373842713423,5,9,1
15.07415593904443,12,6,1
15.074568459996954,2,12,2
15.075132676167414,13,7,1
15.07633062894456,11,8,1
15.077069180086255,9,13,2
15.077845921972767,0,6,1
15.104534517042339,10,13,2
15.105138494167477,2,9,1
15.1059008250013,9,13,2
15.106573504162952,0,6,1
15.107104719150811,11,8,1
15.107792268041521,3,7,1
15.108523918082938,7,13,2
15.109111125115305,5,7,1
15.171973031014204,12,8,1
15.179570083972067,10,13,2
15.19912414997816,11,13,2
15.199996083974838,8,7,1
15.200683573959395,6,7,1
15.201163426972926,3,7,1
15.20171555201523,5,7,1
15.202182955108583,7,13,2
15.202621038071811,0,8,1
15.203577944077551,2,7,1
15.20513055799529,12,8,1
15.20571120409295,13,6,1
15.275731790112332,3,6,1
15.276207162998617,6,8,1
15.276628914987668,11,13,2
15.288095704978332,0,8,1
15.292883679037914,5,6,1
15.293334222165868,8,6,1
15.293789074057713,1,6,1
15.294206696096808,2,7,1
15.294787892140448,13,6,1
15.305678527103737,6,8,1
15.306110498961061,3,6,1
15.309710659086704,8,6,1
15.310357957147062,5,6,1
15.370332033140585,1,6,1
15.371078184107319,0,13,2
15.371566438116133,4,6,1
15.371989679988474,2,6,1
15.372414281126112,13,8,1
15.395230408990756,2,6,1
15.39606693200767,0,13,2
15.396958677098155,13,8,1
15.397351708030328,4,6,1
15.397696958156303,8,13,2
15.398048168048263,5,8,1
15.398381157079712,3,8,1
15.398736977018416,6,13,2
15.39906433597207,1,8,1
15.420950587140396,1,8,1
15.421297037042677,8,13,2
15.421624246053398,6,13,2
15.422235693084076,5,8,1
15.42349291802384,2,8,1
15.424071404151618,4,8,1
15.480656974948943,2,8,1
15.481522080022842,4,8,1
15.48303357209079,1,13,2
15.499736448051408,1,13,2
15.501606901176274,2,13,2
15.502277398947626,4,13,2
15.503366939956322,12,13,2
15.519457570044324,2,13,2
15.520036376081407,4,13,2
15.520642803050578,12,13,2
15.521819696063176,5,13,2
15.5335736440029,5,13,2
15.888700396055356,3,8,1
15.901432291138917,3,13,2
15.912720777094364,3,13,2
17.119021349120885,6,2,1
17.139196552103385,8,2,1
17.1873571081087,1,2,1
17.196213296148926,13,2,1
17.29528945311904,9,2,1
17.296669732080773,11,2,1
17.297611338086426,4,2,1
17.392310274066404,3,2,1
17.39984003501013,0,2,1
17.49871170707047,12,2,1
17.51438224501908,5,2,1
17.524869777960703,5,0,1
17.593367832014337,10,2,1
17.60327415796928,7,2,1
17.611243311082944,10,0,1
17.622225067112595,7,0,1
17.628671737154946,6,0,1
17.6330647401046,8,0,1
17.64583921711892,8,3,1
17.651843375060707,6,3,1
17.68886906001717,1,0,1
17.699327862123027,13,0,1
17.713876888155937,1,3,1
17.714224247960374,13,3,1
17.79315301310271,9,0,1
17.79564545210451,11,0,1
17.79903835710138,4,0,1
17.81178606301546,9,3,1
17.81213621306233,11,3,1
17.814620913006365,4,3,1
17.82845415896736,9,1,1
17.828944823006168,11,1,1
17.830336031969637,4,1,1
17.89028254710138,3,0,1
17.90717607899569,3,1,1
17.909897895064205,0,3,1
17.931766976136714,0,1,1
17.98433709400706,2,0,1
17.99944936716929,12,0,1
17.99988156906329,2,3,1
18.016222045058385,2,1,1
18.01927541103214,5,3,1
18.019700831966475,12,3,1
18.031962824985385,5,1,1
18.040517993969843,12,1,1
18.08377431309782,10,3,1
18.091709814034402,7,3,1
18.097488646162674,10,1,1
18.103737821104005,7,1,1
18.120303882984444,6,1,1
18.13178702397272,8,1,1
18.202638463117182,13,1,1
19.898183555109426,3,5,1
19.900086608016863,0,5,1
19.992635573958978,2,5,1
20.01187921105884,12,5,1
20.08987582102418,10,5,1
20.10291557502933,7,5,1
20.129150588065386,6,5,1
20.141543174162507,8,5,1
20.20017904206179,1,5,1
20.204832572024316,13,5,1
20.299541868967935,9,5,1
20.305094012990594,11,5,1
20.306648577097803,4,5,1
20.319846915081143,9,10,2
20.330045950133353,11,10,2
20.330778151052073,4,10,2
20.39592282101512,3,10,2
20.409770207945257,0,10,2
20.502846288029104,2,10,2
20.51485970406793,12,10,2
20.526377346133813,5,10,2
20.53049311111681,2,11,2
20.537738213082775,12,11,2
20.546487387968227,5,11,2
20.589666123967618,10,11,2
20.598545752000064,7,10,2
20.619780936045572,7,11,2
20.628394956002012,6,10,2
20.641057339962572,8,10,2
20.648526209173724,6,11,2
20.661660335958004,8,11,2
20.68751516798511,1,10,2
20.697922128019854,13,10,2
20.69959664507769,1,11,2
20.71114284801297,13,11,2
20.79025090811774,9,11,2
20.795598978176713,4,11,2
20.88874306017533,3,11,2
20.898981196107343,0,11,2
21.014019590104,5,4,1
21.08153728605248,10,4,1
21.090527937049046,7,4,1
21.12749452004209,6,4,1
21.140426902100444,8,4,1
21.14803021401167,6,7,1
21.160119771957397,8,7,1
21.168048972962424,6,12,2
21.17533107707277,8,12,2
21.194884543074295,1,4,1
21.204388129059225,13,4,1
21.216111306101084,1,7,1
21.225118338130414,13,7,1
21.235095537034795,1,12,2
21.243991705123335,13,12,2
21.301849922165275,9,4,1
21.303940179990605,4,7,1
21.305065961088985,11,4,1
21.329048342071474,11,7,1
21.33010418107733,4,12,2
21.33111923909746,9,7,1
21.35253963805735,9,12,2
21.353744741994888,11,12,2
21.354876343160868,4,13,2
21.368818103102967,9,13,2
21.369979245122522,11,13,2
21.39742813212797,3,4,1
21.405858448008075,0,4,1
21.42001228313893,3,7,1
21.427237555151805,0,7,1
21.44121886510402,3,12,2
21.448315743124112,0,12,2
21.458854967961088,3,13,2
21.46508494205773,0,13,2
21.471398547990248,3,9,1
21.477683214005083,0,9,1
21.502532938029617,2,4,1
21.50702971406281,12,4,1
21.526804827153683,2,7,1
21.527840936090797,5,7,1
21.528901775134727,12,7,1
21.546715582953766,2,12,2
21.54905891814269,12,13,2
21.550244041951373,5,12,2
21.565138197969645,2,13,2
21.56930002407171,5,13,2
21.570492037106305,12,9,1
21.57467811414972,2,9,1
21.58137180097401,5,9,1
21.592025119112805,10,7,1
21.594427936011925,5,6,1
21.59840308711864,7,12,2
21.612064889166504,10,12,2
21.61973670311272,7,13,2
21.622764728032053,6,13,2
21.631236403947696,10,13,2
21.64346105605364,7,9,1
21.64448714395985,6,9,1
21.645522393053398,8,13,2
21.646586453076452,10,9,1
21.660449780058116,10,6,1
21.669548065168783,7,6,1
21.676525139948353,8,9,1
21.70117777795531,8,6,1
21.702004531165585,1,13,2
21.70276818308048,13,9,1
21.72315660212189,13,6,1
21.7237225479912,1,9,1
21.742213065037504,1,6,1
21.80002278997563,11,9,1
21.801289865979925,9,6,1
21.80238572601229,4,9,1
21.816117010079324,11,6,1
21.82492026500404,4,6,1
21.892245647031814,3,6,1
21.898067658999935,0,6,1
21.984443743014708,2,6,1
21.997183819068596,12,6,1
22.017959779128432,5,8,1
22.087099001044407,10,8,1
22.103487939108163,7,8,1
22.127974443137646,6,8,1
22.199520461959764,1,8,1
22.20413032011129,13,8,1
22.299524556146935,9,8,1
22.303110206034034,11,8,1
22.304225106956437,4,8,1
22.396285668946803,3,8,1
22.403138119960204,0,8,1
22.48951602401212,2,8,1
22.503942537121475,12,8,1
27.129491650965065,6,2,1
27.143887363141403,8,2,1
27.19567488017492,1,2,1
27.205908325966448,13,2,1
27.299978434108198,9,2,1
27.304374346975237,11,2,1
27.30554595007561,4,2,1
27.396323416149244,3,2,1
27.40735446405597,0,2,1
27.508191121043637,12,2,1
27.52262627496384,5,2,1
27.540802913019434,5,0,1
27.581810569157824,10,2,1
27.596603862009943,10,0,1
27.59707604511641,7,2,1
27.611865058075637,7,0,1
27.619467810960487,6,0,1
27.634314886061475,6,3,1
27.635041896020994,8,0,1
27.645978851011023,8,3,1
27.689068085048348,1,0,1
27.69594457698986,13,0,1
27.704188597155735,1,3,1
27.71137372800149,13,3,1
27.792643229011446,9,0,1
27.795869799098,11,0,1
27.796481266152114,4,0,1
27.80954015115276,9,3,1
27.811384193133563,4,3,1
27.811941287945956,11,3,1
27.825241829967126,9,1,1
27.82569398311898,11,1,1
27.826136015122756,4,1,1
27.88716625003144,3,0,1
27.898538697045296,3,1,1
27.908208758104593,0,3,1
27.92888693511486,0,1,1
27.991825014119968,2,0,1
28.00418462906964,12,0,1
28.013459658017382,2,3,1
28.02190772513859,5,3,1
28.02635314897634,12,3,1
28.0341587071307,2,1,1
28.034586678957567,5,1,1
28.04618790303357,12,1,1
28.096233021002263,10,3,1
28.1002433730755,7,3,1
28.121375913033262,6,1,1
28.122647339012474,10,1,1
28.123437040951103,7,1,1
28.133440310135484,8,1,1
28.20517441513948,13,1,1
