t_s,reporter,target,reason
12.607518675969914,13,1,1
12.614106738008559,7,1,1
12.621630076086149,13,4,1
12.628243810031563,4,1,1
12.676423165015876,7,4,1
12.677579327020794,13,8,1
12.681446233997121,0,1,1
12.695087302010506,13,8,1
12.698003803147003,0,4,1
12.709194042952731,13,5,1
12.774765149923041,13,5,1
12.788075549062341,7,8,1
12.79368769400753,8,1,1
12.802460238104686,6,1,1
12.80339547409676,4,8,1
12.80429067905061,7,8,1
12.809410250047222,8,4,1
12.821414203150198,4,8,1
12.821923277107999,6,4,1
12.876369836041704,7,5,1
12.889693164965138,7,5,1
12.893032317981124,4,5,1
12.901489601936191,2,1,1
12.904266719007865,7,13,2
12.906556863104925,4,5,1
12.920843268977478,7,13,2
12.974739412078634,2,4,1
12.975770561024547,4,13,2
12.985239453148097,4,13,2
12.987516805995256,7,12,2
13.00045049493201,7,12,2
13.003013546112925,4,12,2
13.012061447137967,12,1,1
13.01588046294637,4,12,2
13.017414085101336,7,11,2
13.075110064120963,7,11,2
13.076045430032536,12,4,1
13.077484280103818,4,11,2
13.090156991034746,4,11,2
13.094010488130152,8,5,1
13.09904258698225,0,8,1
13.106452423147857,8,5,1
13.110780162038282,5,1,1
13.11183401197195,0,8,1
13.115895414026454,9,1,1
13.119920616038144,8,13,2
13.175232079112902,5,4,1
13.176364009967074,8,13,2
13.17687374399975,0,5,1
13.177334137028083,9,4,1
13.179499047109857,13,12,2
13.192479657009244,0,5,1
13.192955950042233,3,1,1
13.193326010135934,8,12,2
13.207022950053215,13,12,2
13.274700585054234,8,12,2
13.275292492005974,0,13,2
13.276032411959022,3,4,1
13.287158780964091,8,11,2
13.290214395150542,11,1,1
13.291431249119341,0,13,2
13.29369493201375,13,11,2
13.294090762967244,9,8,1
13.311065033078194,8,11,2
13.31331338500604,9,8,1
13.313901192042977,2,8,1
13.314323683036491,13,11,2
13.31465426296927,11,4,1
13.31660669692792,0,12,2
13.323390475008637,5,8,1
13.376409983960912,6,8,1
13.379161900142208,10,1,1
13.394406022969633,2,8,1
13.395738060120493,5,8,1
13.396809509024024,0,12,2
13.398055324098095,6,8,1
13.3988672059495,9,5,1
13.399897505063564,10,4,1
13.415890017990023,9,5,1
13.417951494920999,2,5,1
13.418786647962406,5,13,2
13.419517318950966,6,5,1
