observer,target,t_exclusion_s,n_voters,min_voter_r
5,5,5.229602481937036,3,0.632567286491394
1,5,5.308222695020959,3,0.632567286491394
0,5,5.31079255300574,3,0.632567286491394
3,5,5.415831343038008,4,0.632567286491394
2,5,5.419575162930414,3,0.632567286491394
6,5,5.458267007954419,3,1.0
2,6,5.819548371015117,3,1.0
5,6,5.82946364604868,3,1.0
4,5,5.845531985862181,4,1.0
4,6,5.847204230958596,3,1.0
6,6,5.85838692006655,3,1.0
3,6,6.015777149004862,3,1.0
1,6,6.108246963005513,3,1.0
0,6,6.110881333006546,3,1.0
