t_s,reporter,target,reason
10.345504255965352,7,0,1
10.813237046124414,7,11,2
10.843910533003509,7,8,1
10.867505240021273,7,6,1
10.870302729075775,10,0,1
10.88724978803657,7,5,1
10.897806775989011,10,2,1
10.906939205015078,7,4,1
10.92177005414851,7,3,1
10.934983757091686,7,12,2
10.946214805124328,7,8,1
10.981737219030038,7,11,2
11.035802287049592,10,11,2
11.059308831114322,10,8,1
11.081206290051341,8,0,1
11.11120571801439,10,6,1
11.115990643156692,8,2,1
11.130508224014193,10,7,1
11.143745168112218,10,5,1
11.186914788093418,10,4,1
11.193660018965602,11,0,1
11.201220571994781,10,3,1
11.214763035066426,10,12,2
11.21550455596298,11,2,1
11.226173798087984,10,8,1
11.237620521103963,10,11,2
11.511426920071244,8,11,2
11.525992681039497,4,0,1
11.534247815143317,8,6,1
11.544894976075739,4,2,1
11.584513045148924,8,7,1
11.619483994087204,8,5,1
11.63259151414968,8,4,1
11.63331369496882,11,8,1
11.685713316081092,8,3,1
11.69330661999993,11,6,1
11.8132149791345,8,12,2
11.81491633807309,11,7,1
11.815570976119488,8,11,2
11.81612911215052,11,5,1
11.880927982972935,11,4,1
11.88152306014672,11,3,1
11.882070366060361,7,10,2
11.88258102000691,11,12,2
11.891891393112019,7,10,2
11.895740451989695,11,8,1
11.991056306054816,0,2,1
12.001558562973514,8,10,2
12.014091826975346,8,10,2
12.025188341038302,3,0,1
12.030051117995754,4,11,2
12.031426656991243,5,0,1
12.08455645898357,6,0,1
12.086434202035889,3,2,1
12.090302271069959,5,2,1
12.099504220997915,4,8,1
12.100323315011337,6,2,1
12.107756314100698,9,0,1
12.110025498084724,3,6,1
12.113497117068619,5,6,1
12.114701301092282,0,6,1
12.116394659038633,11,10,2
12.188279340043664,11,10,2
12.189248378155753,5,7,1
12.189705450087786,0,7,1
12.190155093092471,3,7,1
12.190606146119535,9,2,1
12.191063159145415,4,6,1
12.210625912062824,3,5,1
12.211560818133876,5,4,1
12.21232566004619,0,5,1
12.21419571316801,4,7,1
12.217605899088085,12,0,1
12.219690658152103,6,7,1
12.287091362988576,5,3,1
12.288039920153096,0,4,1
12.289910743013024,3,4,1
12.290903241140768,12,2,1
12.291995102073997,4,5,1
12.29321601614356,6,5,1
12.31444778596051,6,4,1
12.315250439103693,5,12,2
12.315989900147542,3,12,2
12.316715630004182,7,9,1
12.317412150092423,4,3,1
12.380728240124881,0,3,1
12.40376873104833,7,9,1
12.404320937115699,6,3,1
12.405283264117315,0,12,2
12.40583211905323,3,8,1
12.406265801982954,5,8,1
12.406700894003734,4,12,2
12.411213851068169,9,6,1
12.41202232404612,2,0,1
12.42951594805345,4,8,1
12.480665483977646,6,12,2
12.481127977138385,0,8,1
12.48160400101915,9,7,1
12.482049433048815,5,11,2
12.482839026022702,3,11,2
12.503997764084488,4,11,2
12.506222886964679,5,10,2
12.506780862109736,6,8,1
12.507228095084429,9,5,1
12.507641327101737,0,11,2
12.508063559187576,3,10,2
12.51327469595708,8,9,1
12.532702475087717,0,10,2
12.58081451500766,6,11,2
12.582639666972682,4,10,2
12.58337258710526,9,4,1
12.584266292164102,5,10,2
12.584998353151605,8,9,1
12.58568320213817,10,9,1
12.595131430076435,0,10,2
12.59952003415674,4,10,2
12.601603392045945,6,10,2
12.603877156972885,9,3,1
12.606652205111459,3,10,2
12.607175520155579,10,9,1
12.613641193136573,5,9,1
12.618612663121894,6,10,2
12.680973276030272,9,12,2
12.68198609398678,3,9,1
12.68306143512018,5,9,1
12.683910869061947,11,9,1
12.692200533114374,3,9,1
12.69389574113302,9,8,1
12.704296935116872,11,9,1
12.707165166037157,9,11,2
12.721554063027725,6,9,1
12.722826809156686,9,10,2
12.723615901079029,12,5,1
12.73736439901404,6,9,1
12.73786057299003,9,10,2
12.738903073128313,12,4,1
12.751781217055395,12,3,1
12.752533428138122,1,0,1
12.76682497211732,12,8,1
12.767818270018324,1,2,1
12.791620463132858,12,11,2
12.806320348987356,12,10,2
12.807194393128157,2,5,1
12.820025876164436,12,10,2
12.82160816108808,2,4,1
12.833227209048346,12,9,1
12.834620868088678,2,3,1
12.845443054102361,12,9,1
12.847567924065515,2,12,2
12.859594124136493,2,8,1
12.886372321052477,2,11,2
12.898948877118528,2,10,2
12.910683968104422,2,10,2
12.922189723001793,2,9,1
12.931707913056016,2,9,1
13.017198789166287,4,9,1
13.027064618188888,4,9,1
13.10585580416955,0,9,1
13.11582391615957,0,9,1
13.198963416041806,1,5,1
13.209596317028627,1,4,1
13.222172331996262,1,3,1
13.234458009013906,1,12,2
13.246694205095991,1,8,1
13.258958742022514,1,11,2
13.271065164124593,1,10,2
13.281669994117692,1,10,2
13.293342052958906,1,9,1
13.306615299079567,1,9,1
17.225259624188766,6,0,1
17.22733119316399,12,0,1
17.308873647125438,2,0,1
17.309944347012788,7,0,1
17.4118933591526,9,0,1
17.427950703073293,9,2,1
