observer,target,t_exclusion_s,n_voters,min_voter_r
5,11,12.910209754947573,9,0.6014722585678101
0,11,13.021497605135664,9,0.6014722585678101
1,11,13.022101771086454,9,0.6014722585678101
2,11,13.022614315152168,9,1.0
3,11,13.023110238136724,9,0.6014722585678101
4,11,13.023603632114828,8,1.0
6,11,13.024075304158032,9,0.6014722585678101
8,11,13.024539847159758,8,1.0
9,11,13.025005120085552,9,0.6014722585678101
10,11,13.025466721970588,10,0.6014722585678101
11,11,13.025966136017814,10,0.6014722585678101
12,11,13.0928373739589,9,1.0
7,11,13.094643043121323,8,1.0
12,10,13.292707880027592,7,1.0
7,10,13.294906879076734,7,1.0
5,10,13.309488844126463,7,1.0
6,10,13.312087123980746,8,1.0
10,10,13.318698521936312,8,1.0
11,10,13.38759749615565,9,1.0
11,12,13.388576433062553,7,1.0
0,10,13.395153490127996,8,1.0
9,10,13.397168905008584,8,1.0
3,10,13.39810697012581,8,1.0
1,10,13.40050424495712,8,1.0
2,10,13.40290360013023,8,1.0
4,10,13.403893816983327,8,1.0
8,10,13.410858795046806,8,1.0
12,12,13.492831591982394,7,1.0
7,12,13.49452388798818,7,1.0
5,12,13.509667987935245,8,1.0
6,12,13.512257847934961,7,1.0
10,12,13.518812455004081,8,1.0
0,12,13.595258801942691,7,1.0
9,12,13.597534124040976,7,1.0
3,12,13.59920467901975,7,1.0
1,12,13.600869304034859,7,1.0
2,12,13.60305817401968,7,1.0
4,12,13.604749599006027,7,1.0
8,12,13.610989368055016,7,1.0
