observer,target,t_exclusion_s,n_voters,min_voter_r
10,13,13.59744345000945,7,1.0
2,13,13.775451153051108,7,1.0
5,13,13.777571832062677,7,1.0
8,13,13.779253248125315,9,1.0
10,12,13.780765159986913,7,1.0
11,13,13.782242130953819,9,1.0
13,13,13.783884376985952,9,1.0
1,13,13.78546336106956,9,1.0
2,12,13.786356165073812,7,1.0
3,13,13.787296941038221,8,1.0
4,13,13.787911837920547,8,0.9998068809509277
5,12,13.788640297949314,7,1.0
6,13,13.78933284804225,8,0.9998068809509277
7,13,13.790349706076086,8,1.0
8,12,13.792760203126818,9,1.0
9,13,13.794475380098447,8,1.0
10,11,13.796605329029262,7,1.0
11,12,13.798257765127346,9,1.0
12,13,13.799943641992286,9,1.0
13,12,13.801717871101573,9,1.0
0,13,13.803826240124181,8,0.9998068809509277
1,12,13.805310601135716,9,1.0
2,11,13.806291768094525,7,1.0
3,12,13.806998817017302,8,1.0
4,12,13.807509211124852,8,0.9998068809509277
5,11,13.807980133919045,7,1.0
6,12,13.808477428043261,8,0.9998068809509277
7,12,13.80898307194002,8,1.0
8,11,13.80944475508295,9,1.0
9,12,13.809942089021206,8,1.0
11,11,13.811533452942967,9,1.0
12,12,13.813213060144335,9,1.0
13,11,13.815215724986047,9,1.0
0,12,13.817379924934357,8,0.9998068809509277
1,11,13.81902307108976,9,1.0
3,11,13.82046570093371,8,1.0
4,11,13.821245042141527,8,0.9998068809509277
6,11,13.82174922595732,8,0.9998068809509277
7,11,13.82225056993775,8,1.0
9,11,13.822759323986247,8,1.0
12,11,13.823237597942352,9,1.0
0,11,13.824051370145753,8,0.9998068809509277
12,10,19.578728182939813,7,0.9999699592590332
1,10,19.583050373010337,7,0.9999699592590332
10,10,19.59784917300567,7,0.9999699592590332
2,10,19.62910727900453,7,0.9999699592590332
5,10,19.685142633039504,7,0.9998932480812073
8,10,19.697470284998417,8,0.9998932480812073
13,10,19.709426216082647,8,0.9998932480812073
11,10,19.72537688794546,8,0.9998932480812073
9,10,19.777314736973494,7,0.9998932480812073
3,10,19.781915615079924,7,0.9998932480812073
7,10,19.78380516800098,7,0.9998932480812073
4,10,19.786464201053604,7,0.9998932480812073
6,10,19.788046285044402,7,0.9998932480812073
0,10,19.79081710195169,7,0.9998932480812073
