observer,target,t_exclusion_s,n_voters,min_voter_r
12,12,14.072611175943166,8,0.9999925494194031
1,12,14.114228239981458,8,1.0
2,12,14.11476227408275,7,0.9999925494194031
3,12,14.11529925907962,7,1.0
5,12,14.115799243096262,8,1.0
6,12,14.11626560613513,8,1.0
8,12,14.116727988002822,7,1.0
11,12,14.117187191033736,8,1.0
9,12,14.169974901946262,8,1.0
7,12,14.171827852958813,8,1.0
0,12,14.175879114074633,8,1.0
4,12,14.191401690943167,9,1.0
10,12,14.193990902043879,10,1.0
5,10,14.286036411067471,7,1.0
3,10,14.28914228710346,7,1.0
3,11,14.291051408974454,7,1.0
8,10,14.292859439039603,7,1.0
11,10,14.294326299102977,8,1.0
8,11,14.297141406917945,7,1.0
11,11,14.298565606120974,8,1.0
6,10,14.304372925078496,8,1.0
6,11,14.306749781128019,8,1.0
9,10,14.369916626950726,9,1.0
9,11,14.371646294137463,9,1.0
7,10,14.373376592062414,9,1.0
7,11,14.37509627896361,9,1.0
0,10,14.37722466699779,9,1.0
0,11,14.378885922953486,9,1.0
4,10,14.391082439105958,9,1.0
4,11,14.392775184940547,9,1.0
10,10,14.394490552134812,10,1.0
10,11,14.396894358098507,10,1.0
12,10,14.47261640895158,10,1.0
2,10,14.47509422712028,9,1.0
12,11,14.476769843138754,10,1.0
2,11,14.479492367943749,9,1.0
1,10,14.48160359612666,9,1.0
1,11,14.483297483064234,9,1.0
5,11,14.484931607963517,9,1.0
