t_s,reporter,target,reason
3.846454086015001,1,0,1
3.8605950258206576,1,2,1
3.9077304538805038,0,1,1
3.998861226020381,1,3,1
4.012471081921831,1,4,1
4.025158383883536,1,6,2
4.037633558968082,1,5,2
4.3149947128258646,0,2,1
4.33248176285997,0,3,1
4.349361307919025,0,4,1
4.356533439829946,4,1,1
4.3679062158335,0,6,2
4.368468541884795,4,0,1
4.382303993916139,0,5,2
4.383362531894818,4,2,1
4.386375773930922,2,1,1
4.389284621924162,5,1,1
4.389818325871602,6,1,1
4.400911844801158,2,0,1
4.403113493928686,5,0,1
4.403649207903072,6,0,1
4.408956270897761,3,1,1
4.419007611926645,6,2,1
4.41955152596347,5,2,1
4.420726387994364,3,0,1
4.432020291918889,3,2,1
4.556473509874195,5,3,1
4.567176757846028,5,4,1
4.578022619942203,5,6,2
4.621362135978416,2,3,1
4.632227438967675,2,4,1
4.643088151002303,2,6,2
4.6539710238575935,2,5,2
4.67646824894473,6,3,1
4.6873861430212855,6,4,1
4.698333897860721,6,5,2
4.70669628190808,3,4,1
4.707242507021874,4,3,1
4.720564294839278,3,6,2
4.721113740000874,4,6,2
4.734161821892485,3,5,2
4.734747987939045,4,5,2
6.31460893782787,0,1,1
6.501718232873827,1,0,1
6.562811356969178,5,1,1
6.580143212806433,5,0,1
6.624708752846345,2,1,1
6.635252175852656,2,0,1
6.678865319816396,6,1,1
6.6922901009675115,6,0,1
6.711242120945826,6,2,1
6.713151661911979,4,1,1
6.7140884378459305,3,1,1
6.732774440897629,3,0,1
6.733376786811277,4,0,1
6.7535937710199505,4,2,1
6.754159235861152,3,2,1
6.815036553889513,0,2,1
7.004571503959596,1,2,1
7.024950842838734,1,4,1
7.045647929888219,1,3,1
7.064447254873812,5,2,1
7.084168205969036,5,4,1
7.1027220748364925,5,3,1
7.127635875949636,2,4,1
7.147342935902998,2,3,1
7.182535282801837,6,4,1
7.202332546003163,6,3,1
7.213583298958838,3,4,1
7.214144503930584,4,3,1
7.2210101678501815,6,5,2
7.235591899836436,3,5,2
7.236158015904948,4,5,2
7.255947617813945,3,6,2
7.256518003996462,4,6,2
7.3136994920205325,0,4,1
7.333507865900174,0,3,1
7.352572368923575,0,5,2
7.367529250914231,0,6,2
7.5023985099978745,1,5,2
7.521871213801205,1,6,2
7.561544372001663,5,6,2
7.627829195000231,2,5,2
7.646995710907504,2,6,2
16.31465553189628,0,1,1
16.50074487994425,1,0,1
16.562407668912783,5,1,1
16.579465718008578,5,0,1
16.628106446936727,2,1,1
16.645315960980952,2,0,1
16.682914132019505,6,1,1
16.7011190620251,6,0,1
16.713556666858494,4,1,1
16.714152932865545,3,1,1
16.722603880800307,6,2,1
16.734384266892448,3,0,1
16.734983042813838,4,0,1
16.755083833821118,4,2,1
16.755638778908178,3,2,1
16.814077131915838,0,2,1
16.994708532933146,1,2,1
17.01339365588501,1,4,1
17.032681334996596,1,3,1
17.061952262884006,5,2,1
17.08044159086421,5,4,1
17.099312607897446,5,3,1
17.128618866903707,2,4,1
17.14843656984158,2,3,1
17.182747213868424,6,4,1
17.203380208928138,6,3,1
17.213306625839323,4,3,1
17.213867560960352,3,4,1
17.223856899887323,6,5,2
17.23486193595454,3,5,2
17.235401930985972,4,5,2
17.25523677491583,3,6,2
17.255764338886365,4,6,2
17.3139189039357,0,4,1
17.33376799779944,0,3,1
17.352905913023278,0,5,2
17.367743722861633,0,6,2
17.50257623102516,1,5,2
17.52181236888282,1,6,2
17.562041360884905,5,6,2
17.62849890999496,2,5,2
17.64772374695167,2,6,2
26.31463338783942,0,1,1
26.500719636911526,1,0,1
26.562484688824043,5,1,1
26.57968922285363,5,0,1
26.628078994806856,2,1,1
26.64540387201123,2,0,1
26.683027463965118,6,1,1
26.701170281972736,6,0,1
26.713283638935536,4,1,1
26.714112230809405,3,1,1
26.72261025896296,6,2,1
26.73298652889207,3,0,1
26.733793049817905,4,0,1
26.753905201796442,4,2,1
26.75474297394976,3,2,1
26.814030549954623,0,2,1
27.003011486958712,1,2,1
27.021338499849662,1,4,1
27.04072182183154,1,3,1
27.061949662864208,5,2,1
27.081792966928333,5,4,1
27.10161630087532,5,3,1
27.127753133885562,2,4,1
27.1498175279703,2,3,1
27.182235459797084,6,4,1
27.202761412831023,6,3,1
27.21294380701147,4,3,1
27.213533942820504,3,4,1
27.224234601017088,6,5,2
27.23443757579662,3,5,2
27.235026250826195,4,5,2
27.255135472863913,3,6,2
27.25607780786231,4,6,2
27.31351746385917,0,4,1
27.33371840789914,0,3,1
27.352390029933304,0,5,2
27.36725806980394,0,6,2
27.502885211026296,1,5,2
27.521734358975664,1,6,2
27.562368841841817,5,6,2
27.628290965920314,2,5,2
27.647671047830954,2,6,2
36.31462662992999,0,1,1
