observer,target,t_exclusion_s,n_voters,min_voter_r
3,11,13.089528052136302,7,0.9999955892562866
5,11,13.137683045119047,7,0.9999955892562866
3,10,13.139018793124706,7,0.9999955892562866
7,11,13.139840037096292,8,0.9999955892562866
3,12,13.141089902026579,7,0.9999955892562866
7,10,13.14186787395738,7,0.9999955892562866
7,12,13.143116749124601,7,0.9999955892562866
2,11,13.182591037126258,9,0.9999983906745911
0,11,13.184096329146996,9,0.9999955892562866
0,10,13.185522660147399,8,0.9999955892562866
2,10,13.186349823139608,8,0.9999983906745911
0,12,13.187608408974484,8,0.9999955892562866
2,12,13.188405320979655,8,0.9999983906745911
6,11,13.189656007103622,9,0.9999955892562866
10,11,13.190515001071617,10,0.9999955892562866
6,10,13.191802227171138,8,0.9999955892562866
10,10,13.192617791006342,9,0.9999955892562866
6,12,13.193889557151124,8,0.9999955892562866
10,12,13.194686419097707,9,0.9999955892562866
4,11,13.19593826495111,9,0.9999955892562866
4,10,13.197637923061848,8,0.9999955892562866
1,11,13.198904618155211,9,0.9999955892562866
4,12,13.199779003160074,8,0.9999955892562866
1,10,13.20100789796561,8,0.9999955892562866
1,12,13.202247173059732,8,0.9999955892562866
12,11,13.203504949109629,10,0.9999955892562866
12,10,13.204769785050303,9,0.9999955892562866
12,12,13.206050411099568,9,0.9999955892562866
11,11,13.244281972991303,10,0.9999955892562866
11,10,13.24594617006369,9,0.9999955892562866
11,12,13.24717521504499,9,0.9999955892562866
8,11,13.275585538940504,9,0.9999955892562866
8,10,13.277277327142656,8,0.9999955892562866
8,12,13.278723878087476,8,0.9999955892562866
9,11,13.281722503015772,9,0.9999955892562866
9,10,13.283903655130416,9,0.9999955892562866
9,12,13.285324715077877,8,0.9999955892562866
5,10,13.289107672171667,9,0.9999955892562866
5,12,13.290357016958296,9,0.9999955892562866
