observer,target,t_exclusion_s,n_voters,min_voter_r
3,11,11.694670289056376,7,0.6782527565956116
1,11,11.806030886014923,7,0.6782527565956116
2,11,11.807285362156108,7,0.6782527565956116
6,11,11.808841126039624,8,0.6782527565956116
10,11,11.810585245024413,7,0.6782527565956116
11,11,11.811736437026411,7,0.6782527565956116
8,11,11.813794455956668,8,0.6782527565956116
5,11,11.889226407976821,7,0.9998683929443359
12,11,11.899430145975202,8,0.9998683929443359
7,11,11.901698930189013,7,1.0
4,11,11.902507183142006,7,0.9998683929443359
0,11,11.985398206161335,8,0.9997833967208862
9,11,11.995008008088917,8,0.9997833967208862
3,10,12.694632682017982,7,1.0
1,10,12.697946715168655,7,1.0
12,10,12.699419417185709,7,1.0
11,10,12.71571903815493,7,1.0
2,10,12.79383062501438,7,1.0
9,10,12.796623644186184,7,1.0
10,10,12.798338683089241,7,1.0
6,10,12.801030049100518,7,1.0
8,10,12.80824559298344,8,1.0
5,10,12.889308794168755,8,1.0
7,10,12.901886200066656,8,1.0
4,10,12.903814743971452,8,1.0
0,10,12.985410850029439,9,0.9998913407325745
11,12,13.116611798061058,7,1.0
10,12,13.194856720045209,7,1.0
9,12,13.196906358003616,7,1.0
5,12,13.289505415130407,7,1.0
3,12,13.294778323965147,7,1.0
1,12,13.296984736109152,7,1.0
12,12,13.299482136964798,8,1.0
7,12,13.302367649041116,7,1.0
4,12,13.304959611967206,8,1.0
0,12,13.385373525088653,9,1.0
2,12,13.393351480131969,9,1.0
6,12,13.397477207006887,9,1.0
8,12,13.407458359142765,9,1.0
