observer,target,t_exclusion_s,n_voters,min_voter_r
7,7,5.789657345041633,5,0.9999123811721802
3,7,5.838877077912912,5,0.9999123811721802
6,7,5.862845057854429,5,0.9999123811721802
7,6,5.9898048469331115,5,0.9999123811721802
3,6,5.994662657845765,5,0.9999123811721802
6,6,6.063050650991499,6,0.9999123811721802
5,7,6.0688773188740015,5,0.9999123811721802
5,6,6.070495893014595,5,0.9999123811721802
0,7,6.159253417048603,5,0.9999123811721802
0,6,6.160951912868768,5,0.9999123811721802
2,7,6.17037111800164,5,0.9999123811721802
1,7,6.171950880903751,5,0.9999123811721802
2,6,6.173057370819151,5,0.9999123811721802
1,6,6.174691874999553,5,0.9999123811721802
4,7,6.192847156897187,5,1.0
4,6,6.194456840865314,5,1.0
