observer,target,t_exclusion_s,n_voters,min_voter_r
6,6,5.372649750905111,5,1.0
3,6,5.421004337957129,5,1.0
5,6,5.422101977048442,5,1.0
6,7,5.423166414024308,5,1.0
7,6,5.424409786937758,5,1.0
3,7,5.426194378873333,5,1.0
5,7,5.427480702986941,5,1.0
7,7,5.428399934899062,5,1.0
4,6,5.429672508966178,5,1.0
4,7,5.431046447018161,5,1.0
1,6,5.490193587960675,5,1.0
1,7,5.491690000053495,5,1.0
0,6,5.566087590064853,5,1.0
0,7,5.567688504932448,5,1.0
2,6,5.581005627056584,5,1.0
2,7,5.58252563001588,5,1.0
