t_s,reporter,target,reason
3.6563218978699297,6,0,1
3.6924305609427392,6,2,1
3.706320800818503,6,1,1
3.720273062819615,6,4,1
3.7398021810222417,6,3,1
3.7523862088564783,6,7,2
3.7652703770436347,6,5,2
4.234480772865936,1,0,1
4.247520216042176,1,2,1
4.29109370498918,1,4,1
4.303751206025481,1,6,2
4.316314904019237,1,3,1
4.329008775996044,1,7,2
4.3405420309863985,1,5,2
4.359540901845321,3,0,1
4.372666297946125,3,2,1
4.404274128843099,3,1,1
4.416968981036916,3,4,1
4.428542176960036,3,6,2
4.440552836982533,3,7,2
4.452470934949815,3,5,2
4.491265852935612,2,0,1
4.540100808953866,5,0,1
4.552489009918645,5,2,1
4.646551227895543,7,0,1
4.6595988208428025,7,2,1
4.666865340899676,4,0,1
4.672401605872437,0,2,1
4.679473149823025,4,2,1
4.6845360898878425,0,1,1
4.690951753873378,4,1,1
4.782019205857068,2,1,1
4.786844648886472,5,1,1
4.793521399842575,2,4,1
4.797927269944921,5,4,1
4.804810727015138,2,6,2
4.809112872928381,5,6,2
4.816224668873474,2,3,1
4.820516675012186,5,3,1
4.827475264901295,2,7,2
4.8317457099910825,5,7,2
4.83885157504119,2,5,2
4.911353450035676,7,1,1
4.923296657856554,7,4,1
4.935027759987861,7,6,2
4.947048580041155,7,3,1
4.95888353488408,7,5,2
5.101453067967668,4,6,2
5.113155297935009,4,3,1
5.124547218903899,4,7,2
5.135801404947415,4,5,2
5.192552770953625,0,4,1
5.204572381917387,0,6,2
5.216337883844972,0,3,1
5.228263370925561,0,7,2
5.239834367996082,0,5,2
6.290300013963133,2,0,1
6.292602666886523,5,0,1
6.297040428034961,1,0,1
6.412553432863206,3,0,1
6.417755727889016,7,0,1
6.432144982973114,3,2,1
6.439885288011283,7,2,1
6.607300065923482,4,0,1
6.626956767868251,4,2,1
6.69830725598149,6,0,1
6.702581980964169,0,2,1
6.717949596932158,6,2,1
6.791571876965463,2,1,1
6.796856942819431,1,2,1
6.79766253894195,5,2,1
6.816525225993246,5,1,1
6.913738641887903,3,1,1
6.919079830870032,7,1,1
6.932297058869153,3,4,1
6.940052564023063,7,4,1
7.107964006951079,4,1,1
7.1994387719314545,6,1,1
7.2004577938932925,0,1,1
7.220525549026206,0,4,1
7.221113666892052,6,4,1
7.2907008389011025,2,4,1
7.293390413979068,5,4,1
7.29753533587791,1,4,1
7.411534882849082,3,6,2
7.419776733033359,7,6,2
7.440602062037215,7,3,1
7.608915267046541,4,6,2
7.62888487894088,4,3,1
7.647441885899752,4,7,2
7.700388230849057,6,3,1
7.7028223178349435,0,6,2
7.7208686280064285,6,7,2
7.7247591118793935,0,3,1
7.741194250993431,6,5,2
7.741861662827432,0,7,2
7.7544434908777475,0,5,2
7.789893581997603,2,6,2
7.794907000847161,5,6,2
7.798447162844241,1,6,2
7.811797434929758,2,3,1
7.817278747912496,5,3,1
7.8188154369127005,1,3,1
7.834689809009433,2,7,2
7.837892191018909,5,7,2
7.838432157877833,1,7,2
7.851234012981877,2,5,2
7.853332738857716,1,5,2
7.911831958917901,3,7,2
7.920000437879935,7,5,2
7.931117358850315,3,5,2
8.108178491005674,4,5,2
16.29259690688923,2,0,1
16.293601787881926,5,0,1
16.297162630828097,1,0,1
16.41249804291874,3,0,1
16.41642162692733,7,0,1
16.432911237934604,3,2,1
16.43640940799378,7,2,1
16.60733446595259,4,0,1
16.627004036912695,4,2,1
16.69808305101469,6,0,1
16.700411344878376,0,2,1
16.717813293915242,6,2,1
16.790715645998716,2,1,1
16.794534935848787,5,2,1
16.800716470927,1,2,1
16.815088175004348,5,1,1
16.911590151954442,3,1,1
16.91787085100077,7,1,1
16.930135137867182,3,4,1
16.936593961901963,7,4,1
17.107675703940913,4,1,1
17.199855654034764,0,1,1
17.200571947032586,6,1,1
17.22051542601548,6,4,1
17.221111095044762,0,4,1
17.291244769934565,2,4,1
17.293609424028546,5,4,1
17.29755149804987,1,4,1
17.41184798697941,3,6,2
17.418589839944616,7,6,2
17.438700524857268,7,3,1
17.608696101931855,4,6,2
17.62840780382976,4,3,1
17.647369073005393,4,7,2
17.700706435833126,0,6,2
17.701314055826515,6,3,1
17.723053111927584,6,7,2
17.723652340937406,0,3,1
17.742903008824214,0,7,2
17.74352374789305,6,5,2
17.758191860979423,0,5,2
17.794263149844483,2,6,2
17.79485433897935,5,6,2
17.79905561101623,1,6,2
17.818655209848657,2,3,1
17.819949430879205,1,3,1
17.820555340033025,5,3,1
17.838530076900497,2,7,2
17.840912871994078,1,7,2
17.8419129839167,5,7,2
17.855345658026636,2,5,2
17.856417801929638,1,5,2
17.91187791293487,3,7,2
17.918641255935654,7,5,2
17.931296174880117,3,5,2
18.108673814916983,4,5,2
26.28984986594878,2,0,1
26.292477509006858,5,0,1
26.296827545855194,1,0,1
26.404174029827118,3,0,1
26.410213259980083,7,0,1
26.41493706894107,3,2,1
26.421299248933792,7,2,1
26.603921233909205,4,0,1
26.623532362049446,4,2,1
26.698047529906034,6,0,1
26.699795454973355,0,2,1
26.717427119845524,6,2,1
26.78938878700137,2,1,1
26.796661926899105,5,2,1
26.8004112849012,1,2,1
26.815006794873625,5,1,1
26.9113822709769,3,1,1
26.917521504918113,7,1,1
26.929752949858084,3,4,1
26.936316256877035,7,4,1
27.10868987790309,4,1,1
27.199843731010333,0,1,1
27.200447369832546,6,1,1
27.21985574089922,6,4,1
27.220434998860583,0,4,1
27.283536596922204,2,4,1
27.28415628685616,5,4,1
27.29032771103084,1,4,1
27.404900370864198,3,6,2
27.4098525068257,7,6,2
27.422651070868596,7,3,1
27.609121285844594,4,6,2
27.62907748389989,4,3,1
27.64784451504238,4,7,2
27.70025042584166,0,6,2
27.700860044918954,6,3,1
27.72258686996065,6,7,2
27.72314077685587,0,3,1
27.74299788288772,0,7,2
27.743591321865097,6,5,2
27.758130979025736,0,5,2
27.783902521943673,2,6,2
27.796129575930536,2,3,1
27.79673537495546,5,6,2
27.79730875394307,1,6,2
27.80647871294059,2,7,2
27.817775188945234,1,3,1
27.818328256020322,2,5,2
27.819357438012958,5,3,1
27.83477169391699,1,7,2
27.836774526862428,5,7,2
27.848837496945634,1,5,2
27.91314180288464,3,7,2
27.91952182399109,7,5,2
27.933865764876828,3,5,2
28.108357132878155,4,5,2
36.28125430387445,2,0,1
36.29077920294367,1,0,1
36.29212060500868,5,0,1
36.404458107892424,3,0,1
36.41000865283422,7,0,1
36.41584614687599,3,2,1
36.42040556995198,7,2,1
36.600490962853655,4,0,1
36.612914104014635,4,2,1
36.69277951493859,6,0,1
36.693105964921415,0,2,1
36.7070780438371,6,2,1
36.78983761696145,2,1,1
36.797151336912066,5,2,1
36.80138685996644,1,2,1
36.81639471184462,5,1,1
36.90515211294405,3,1,1
36.911281225970015,7,1,1
36.917270564008504,3,4,1
36.92188597889617,7,4,1
37.10077063390054,4,1,1
37.19340260582976,0,1,1
37.194885562872514,6,1,1
37.206575840944424,0,4,1
37.20701076393016,6,4,1
37.28447664086707,5,4,1
37.29428657889366,2,4,1
37.296852418920025,1,4,1
37.40462182788178,3,6,2
37.41080817300826,7,6,2
37.423658536048606,7,3,1
37.601695504039526,4,6,2
37.61288196593523,4,3,1
37.623595512937754,4,7,2
37.69342101784423,0,6,2
37.69563711783849,6,3,1
37.71555521385744,0,3,1
37.71657847589813,6,7,2
37.73550316086039,0,7,2
37.7361720118206,6,5,2
37.74604294192977,0,5,2
37.78163830097765,2,6,2
37.796289891935885,2,3,1
37.796606461983174,1,6,2
37.79763293382712,5,6,2
37.81004761485383,1,3,1
37.81050814897753,2,7,2
37.82174097187817,5,3,1
37.823747044894844,1,7,2
37.82399355294183,2,5,2
37.83461672696285,1,5,2
37.8399327439256,5,7,2
37.90522762690671,3,7,2
37.910636646905914,7,5,2
37.91655864287168,3,5,2
38.10068096104078,4,5,2
46.28291140496731,2,0,1
46.28365156799555,5,0,1
46.29020228399895,1,0,1
46.404216521885246,3,0,1
46.410233051050454,7,0,1
46.41676624584943,3,2,1
46.42280460591428,7,2,1
46.6003856388852,4,0,1
46.610636580968276,4,2,1
46.69204233586788,6,0,1
46.6931199489627,0,2,1
46.706827118992805,6,2,1
46.78420073795132,2,1,1
46.78525150101632,5,2,1
46.79540594900027,1,2,1
46.79741185205057,5,1,1
46.90423291386105,3,1,1
46.91037462698296,7,1,1
46.91466919193044,3,4,1
46.92872115201317,7,4,1
47.10118601494469,4,1,1
47.192770638968796,6,1,1
47.19338039797731,0,1,1
47.20677516795695,6,4,1
47.20739388698712,0,4,1
47.28615282988176,5,4,1
47.28668762603775,2,4,1
47.29113293602131,1,4,1
47.40510132187046,3,6,2
47.41058273403905,7,6,2
47.424046186963096,7,3,1
47.6017308710143,4,6,2
47.6136198239401,4,3,1
47.62408935301937,4,7,2
47.693745927885175,0,6,2
47.69434196688235,6,3,1
47.708772209938616,0,3,1
47.709396368823946,6,7,2
47.72249446995556,6,5,2
47.72309485892765,0,7,2
47.733190526021644,0,5,2
47.784043340943754,2,6,2
47.784884387860075,5,6,2
47.79027101700194,1,6,2
47.80593509785831,1,3,1
47.807457465911284,2,3,1
47.80838742502965,5,3,1
47.81616404885426,1,7,2
47.829947121907026,1,5,2
47.83058779197745,5,7,2
47.83119607088156,2,7,2
47.84466564282775,2,5,2
47.91426370688714,3,7,2
47.91837455588393,7,5,2
47.933937513967976,3,5,2
48.10865932586603,4,5,2
56.28324904991314,5,0,1
56.28366160299629,2,0,1
56.29024666897021,1,0,1
56.41020506690256,7,0,1
56.4119688719511,3,0,1
56.42032915400341,7,2,1
56.5995990189258,4,0,1
56.60963526391424,4,2,1
56.69164120196365,6,0,1
56.692685974994674,0,2,1
56.7061372960452,6,2,1
56.79325203387998,2,1,1
56.79397665685974,5,2,1
56.79976349789649,1,2,1
56.81348738796078,5,1,1
56.904479417949915,3,2,1
56.91026279889047,7,1,1
56.914528402965516,3,1,1
56.920298932818696,7,4,1
56.92447334388271,3,4,1
57.10839853389189,4,1,1
57.19196685194038,0,1,1
57.19252219889313,6,1,1
57.20454559591599,0,4,1
57.20510991290212,6,4,1
57.29290799284354,1,4,1
57.293893683934584,2,4,1
57.29447659198195,5,4,1
57.411767286015674,3,6,2
57.418113093823195,7,6,2
57.437935694819316,7,3,1
57.609167507849634,4,6,2
57.630072871921584,4,3,1
57.648326142923906,4,7,2
57.70036891289055,0,6,2
57.700973151950166,6,3,1
57.722723642829806,6,7,2
57.72329626092687,0,3,1
57.742666288046166,6,5,2
57.74322167504579,0,7,2
57.75798654695973,0,5,2
57.793934433022514,2,6,2
57.7949046229478,5,6,2
57.79808805300854,1,6,2
57.8186335968785,5,3,1
57.8191854339093,1,3,1
57.81972489086911,2,3,1
57.84027265384793,5,7,2
57.840837051859125,1,7,2
57.84137978893705,2,7,2
57.856971056899056,2,5,2
57.857939476845786,1,5,2
57.911769752856344,3,7,2
57.91804744885303,7,5,2
57.93096995400265,3,5,2
58.108724739868194,4,5,2
66.2902955620084,2,0,1
66.29247206100263,5,0,1
66.29713221592829,1,0,1
66.40375079889782,3,0,1
66.4099044718314,7,0,1
66.41460362891667,3,2,1
66.42078566201963,7,2,1
66.59978909790516,4,0,1
66.61696843500249,4,2,1
66.6983406089712,6,0,1
66.70295723294839,0,2,1
66.7180349950213,6,2,1
66.79222466284409,2,1,1
66.79682506783865,5,2,1
66.80107772094198,1,2,1
66.81686838390306,5,1,1
66.91372170089744,3,1,1
66.91895888489671,7,1,1
66.93273326591589,3,4,1
66.93990550003946,7,4,1
67.10765550401993,4,1,1
67.19922865601256,6,1,1
67.19981866399758,0,1,1
67.22025164286606,0,4,1
67.22084094095044,6,4,1
67.292302015936,2,4,1
67.29326612595469,1,4,1
67.29487657593563,5,4,1
67.41224029404111,7,6,2
67.41427526785992,3,6,2
67.42349828593433,7,3,1
67.60841630585492,4,6,2
67.62848168285564,4,3,1
67.64731640182436,4,7,2
67.70019082399085,0,6,2
67.70078148297034,6,3,1
67.72234269697219,0,3,1
67.72296303603798,6,7,2
67.74320322787389,0,7,2
67.74379708687775,6,5,2
67.75844053504989,0,5,2
67.79441431886517,2,6,2
67.79532880685292,5,6,2
67.79852441698313,1,6,2
67.81989813502878,5,3,1
67.82075489195995,1,3,1
67.82155506685376,2,3,1
67.84306153887883,1,7,2
67.84366774791852,5,7,2
67.84426733688451,2,7,2
67.86048452393152,2,5,2
67.86091664782725,1,5,2
67.91424675402232,3,7,2
67.91938531491905,7,5,2
67.93398338090628,3,5,2
68.10832856991328,4,5,2
76.28975799586624,2,0,1
76.29241110896692,5,0,1
76.29697985085659,1,0,1
76.41260839882307,3,0,1
76.41696099494584,7,0,1
76.43660054798238,7,2,1
76.60724782198668,4,0,1
76.62781912391074,4,2,1
76.69837912591174,6,0,1
76.70042976993136,0,2,1
76.7179131549783,6,2,1
76.78430584585294,2,1,1
76.79268930782564,5,2,1
76.8100823010318,1,2,1
76.81297718104906,5,1,1
76.91451666899957,3,2,1
76.91795697598718,7,1,1
76.93562199687585,3,1,1
76.93685934599489,7,4,1
76.9543910829816,3,4,1
77.10887354286388,4,1,1
