observer,target,t_exclusion_s,n_voters,min_voter_r
4,6,5.787253608927131,5,1.0
4,7,5.835097543895245,5,1.0
3,6,5.881260254886001,5,1.0
3,7,5.882878178032115,5,1.0
5,6,5.900752763031051,5,1.0
1,6,5.902395326877013,5,1.0
5,7,5.903541677864268,5,1.0
1,7,5.905028498033062,5,1.0
2,6,5.906090366886929,5,1.0
2,7,5.907622998813167,5,1.0
6,6,5.909519299864769,6,1.0
6,7,5.911047101020813,6,1.0
7,6,5.914786532986909,6,1.0
7,7,5.916320723947138,6,1.0
0,6,5.985812455881387,5,1.0
0,7,5.987405898980796,5,1.0
