observer,target,t_exclusion_s,n_voters,min_voter_r
7,7,5.739605012116954,5,1.0
3,7,5.789248916087672,5,1.0
7,6,5.790357636054978,5,1.0
3,6,5.791894817026332,5,1.0
6,7,5.88109867204912,5,1.0
6,6,5.882780617102981,5,1.0
4,7,5.994205783121288,5,1.0
4,6,5.995914149098098,5,1.0
5,7,6.000207195058465,5,1.0
5,6,6.001801898004487,5,1.0
0,7,6.0809885719791055,5,1.0
0,6,6.0825653951615095,5,1.0
1,7,6.159185817930847,5,1.0
1,6,6.160407640971243,5,1.0
2,7,6.165541700087488,5,1.0
2,6,6.167093452066183,5,1.0
