observer,target,t_exclusion_s,n_voters,min_voter_r
11,12,13.791070540901273,7,1.0
0,12,13.970794135937467,8,1.0
2,12,13.971469594864175,8,1.0
5,12,13.972142092883587,8,1.0
6,12,13.972801941912621,10,1.0
7,12,13.973457569954917,10,1.0
8,12,13.9746391128283,9,1.0
10,12,13.975600709905848,7,1.0
12,12,13.976578156929463,9,1.0
4,12,13.978124510962516,11,1.0
13,12,13.979246781906113,11,1.0
3,12,13.980856006965041,11,1.0
3,11,13.982753719901666,7,1.0
1,12,13.986696569947526,11,1.0
1,11,13.987845242023468,7,1.0
11,11,13.989413934992626,7,1.0
9,12,13.99312813882716,11,1.0
5,11,14.080101515864953,7,1.0
0,11,14.081861994927749,8,1.0
12,11,14.08375428779982,8,1.0
8,11,14.087236294988543,7,1.0
6,11,14.096260756952688,8,1.0
7,11,14.097799209877849,8,1.0
4,11,14.172651298809797,7,1.0
13,11,14.176922987913713,7,1.0
10,11,14.190114266006276,8,0.9999963641166687
9,11,14.19254039390944,9,0.9999963641166687
2,11,14.275091686984524,9,0.9999963641166687
1,10,15.186531700892374,7,1.0
11,10,15.189995556836948,7,1.0
10,10,15.192870386876166,7,1.0
2,10,15.2743307298515,7,1.0
5,10,15.279780302895233,7,1.0
0,10,15.281881180824712,7,1.0
12,10,15.28412006283179,8,1.0
12,13,15.28634866583161,7,1.0
8,10,15.288549236953259,7,1.0
6,10,15.29634122387506,8,1.0
6,13,15.299207323929295,7,1.0
7,10,15.30120280990377,7,1.0
4,10,15.372702424880117,7,1.0
4,13,15.375504672992975,7,1.0
13,10,15.377116977935657,8,1.0
13,13,15.37845512595959,7,1.0
3,10,15.380190543830395,7,1.0
1,13,15.386391136795282,7,1.0
11,13,15.38922893581912,7,1.0
10,13,15.390032388968393,7,1.0
9,10,15.39249405800365,7,1.0
8,13,15.487179179908708,7,1.0
7,13,15.496594721917063,7,1.0
3,13,15.580378680024296,8,1.0
9,13,15.592724714893848,8,1.0
2,13,15.674451655009761,8,1.0
5,13,15.680686848936602,9,1.0
0,13,15.68257572199218,9,1.0
