t_s,reporter,target,reason
4.194017916917801,1,0,1
4.345748480875045,3,1,1
4.357966994866729,3,0,1
4.48801945685409,6,1,1
4.49937830097042,6,0,1
4.528412917861715,0,1,1
4.534969495842233,4,1,1
4.547237331047654,4,0,1
4.552967279916629,2,1,1
4.579526660963893,2,0,1
4.587675824062899,5,1,1
4.590859124902636,2,6,2
4.601080508902669,5,0,1
4.602300381055102,2,7,2
4.613835121970624,2,3,1
4.624136918922886,7,1,1
4.624803961953148,2,4,1
4.637733170995489,2,5,1
4.638343981932849,7,0,1
4.677495549898595,4,2,1
4.690345745999366,4,6,2
4.691449804930016,1,2,1
4.708550987998024,4,7,2
4.709242641925812,3,2,1
4.709829241968691,0,2,1
4.710371820954606,1,6,2
4.726835901848972,4,3,1
4.728061253903434,0,6,2
4.728608153061941,3,6,2
4.729146231897175,1,7,2
4.745642713969573,4,5,1
4.746310597052798,0,7,2
4.746878687059507,1,3,1
4.747466207947582,3,7,2
4.762441487051547,0,3,1
4.763055488001555,1,4,1
4.763643509009853,3,4,1
4.778582026949152,0,4,1
4.779267110861838,3,5,1
4.779904872877523,1,5,1
4.79011299693957,0,5,1
4.941813279874623,7,2,1
4.953826416982338,7,6,2
4.965690777869895,7,3,1
4.977212697966024,7,4,1
4.988890572916716,7,5,1
4.99439888400957,6,2,1
5.006230033934116,6,7,2
5.017793314997107,6,3,1
5.028795756865293,6,4,1
5.039192866999656,5,2,1
5.040387037908658,6,5,1
5.0508132399991155,5,6,2
5.062287447974086,5,7,2
5.0737109838519245,5,3,1
5.084651782875881,5,4,1
6.445337475975975,7,1,1
6.463745804037899,7,0,1
6.501444621011615,6,1,1
6.51923834788613,6,0,1
6.543866432039067,5,1,1
6.561267684912309,5,0,1
6.587558385916054,2,1,1
6.605007380945608,2,0,1
6.684371762908995,4,1,1
6.69265140988864,1,0,1
6.706273552030325,3,1,1
6.70720270392485,4,0,1
6.70905774901621,0,1,1
6.7160117600578815,3,0,1
6.946648083860055,7,2,1
7.0013971019070596,6,2,1
7.044534787070006,5,2,1
7.063703001011163,5,6,2
7.087072650901973,2,6,2
7.185405947966501,4,2,1
7.194870525971055,1,2,1
7.2126202520448714,0,2,1
7.214372051879764,4,6,2
7.21496309293434,3,2,1
7.215557513991371,1,6,2
7.2332546568941325,0,6,2
7.237754883011803,3,6,2
7.446372831938788,7,6,2
7.466069514863193,7,4,1
7.486496982863173,7,3,1
7.500369613990188,6,4,1
7.5202085908968,6,3,1
7.539602832868695,6,7,2
7.54380451887846,5,4,1
7.563582564005628,5,3,1
7.583199603948742,5,7,2
7.587247263872996,2,4,1
7.607241516932845,2,3,1
7.625894533935934,2,7,2
7.68498516199179,4,3,1
7.69398731389083,1,4,1
7.711883442942053,0,4,1
7.713825810933486,4,7,2
7.714416780974716,3,4,1
7.715416576014832,1,3,1
7.736129553988576,1,7,2
7.736722894944251,0,3,1
7.737273633945733,3,7,2
7.7534383840393275,0,7,2
8.083844912005588,2,5,1
8.184554870938882,4,5,1
8.194854008033872,1,5,1
8.210106696002185,3,5,1
8.210702545940876,0,5,1
8.446895509026945,7,5,1
8.500898429891095,6,5,1
16.446564490906894,7,1,1
16.464952336857095,7,0,1
16.50188206206076,6,1,1
16.519967136904597,6,0,1
16.543963405070826,5,1,1
16.56131948507391,5,0,1
16.58726028096862,2,1,1
16.60457827989012,2,0,1
16.68483558204025,4,1,1
16.692227246938273,1,0,1
16.706842351937667,4,0,1
16.710679223993793,0,1,1
16.71194448787719,3,1,1
16.731528523843735,3,0,1
16.946458427933976,7,2,1
17.001832450041547,6,2,1
17.043984106043354,5,2,1
17.063292532926425,5,6,2
17.086910917889327,2,6,2
17.185398758854717,4,2,1
17.194516584044322,1,2,1
17.211876902962103,4,6,2
17.212464493932202,3,2,1
17.213009191909805,0,2,1
17.214898557867855,1,6,2
17.234490203903988,0,6,2
17.235082424012944,3,6,2
17.446398930856958,7,6,2
17.466151183005422,7,4,1
17.48651440697722,7,3,1
17.501896027941257,6,4,1
17.522764117922634,6,3,1
17.544189627980813,6,7,2
17.545223533874378,5,4,1
17.565059928921983,5,3,1
17.585648759035394,5,7,2
17.587294206023216,2,4,1
17.60676424903795,2,3,1
17.625651710899547,2,7,2
17.684905766975135,4,3,1
17.69365412904881,1,4,1
17.711882018018514,0,4,1
17.71359558799304,4,7,2
17.71418435801752,3,4,1
17.714731046929955,1,3,1
17.73553047492169,1,7,2
17.736475676996633,3,7,2
17.73701153602451,0,3,1
17.75352348596789,0,7,2
18.08705398091115,2,5,1
18.184641608968377,4,5,1
18.193983520846814,1,5,1
18.209948462899774,0,5,1
18.210547233000398,3,5,1
18.446223597973585,7,5,1
18.50191808003001,6,5,1
26.446891274070367,7,1,1
26.464221339905635,7,0,1
26.501325987046584,6,1,1
26.519540814915672,6,0,1
26.544270685873926,5,1,1
26.563001789851114,5,0,1
26.58807827392593,2,1,1
26.605472951894626,2,0,1
26.685674923006445,4,1,1
26.687407231889665,1,0,1
26.706773119047284,4,0,1
26.710414404049516,3,1,1
26.712287908885628,0,1,1
26.727679408853874,3,0,1
26.946336454013363,7,2,1
27.00103146606125,6,2,1
27.04455530294217,5,2,1
27.065261465962976,5,6,2
27.087718978058547,2,6,2
27.186893091071397,4,2,1
27.189537891885266,1,2,1
27.209581770934165,1,6,2
27.213589758845046,3,2,1
27.21487072389573,4,6,2
27.215478925034404,0,2,1
27.235379348974675,3,6,2
27.236847979947925,0,6,2
27.446530263870955,7,6,2
27.466499300906435,7,3,1
27.48522329586558,7,4,1
27.497205077903345,6,3,1
27.512290247017518,6,4,1
27.530730000929907,6,7,2
27.545713326893747,5,3,1
27.565812377957627,5,4,1
27.588215468917042,5,7,2
27.589627917855978,2,3,1
27.60810011299327,2,4,1
27.62689174991101,2,7,2
27.681683644885197,4,3,1
27.689692741027102,1,3,1
27.700636107008904,4,7,2
27.70824276888743,1,4,1
27.708843779983,0,3,1
27.70939086796716,3,4,1
27.72589990706183,0,4,1
27.727403427939862,1,7,2
27.72950917086564,3,7,2
27.740966825047508,0,7,2
28.08817374892533,2,5,1
28.18668805784546,4,5,1
28.189408310921863,1,5,1
28.209933786885813,0,5,1
28.210527298040688,3,5,1
28.447367833927274,7,5,1
28.501711702905595,6,5,1
36.44731231103651,7,1,1
36.46477367985062,7,0,1
36.50100262206979,6,1,1
36.51842442993075,6,0,1
36.5443103578873,5,1,1
36.563382192049176,5,0,1
36.58762719295919,2,1,1
36.605503296945244,2,0,1
36.6846615918912,4,1,1
36.69301232788712,1,0,1
36.707054489990696,4,0,1
36.71064253291115,0,1,1
36.71166557795368,3,1,1
36.73015088192187,3,0,1
36.94665833702311,7,2,1
37.00066661904566,6,2,1
37.045097932918,5,2,1
37.06606835196726,5,6,2
37.087815857026726,2,6,2
37.18510319292545,4,2,1
37.1951701680664,1,2,1
37.212895496049896,0,2,1
37.21467757690698,4,6,2
37.215297657996416,3,2,1
37.2158527970314,1,6,2
37.233576074941084,0,6,2
37.23806761903688,3,6,2
37.446738003985956,7,6,2
37.46665572701022,7,3,1
37.48547065095045,7,4,1
37.49707770906389,6,3,1
37.51168194995262,6,4,1
37.526698344852775,6,7,2
37.54620732390322,5,3,1
37.56682273093611,5,4,1
37.58922220906243,5,7,2
37.590383698930964,2,3,1
37.60879048006609,2,4,1
37.62720331107266,2,7,2
37.684921510051936,4,3,1
37.695241493871436,1,3,1
37.71186597389169,4,7,2
37.71241926285438,3,4,1
37.712956450879574,0,3,1
37.71503451303579,1,4,1
37.73540270095691,0,4,1
37.73635162296705,1,7,2
37.73744683107361,3,7,2
37.75259910989553,0,7,2
38.08797047706321,2,5,1
38.185534910997376,4,5,1
38.194998734863475,1,5,1
38.20983909396455,3,5,1
38.210429053986445,0,5,1
38.447001702850685,7,5,1
38.50072688399814,6,5,1
46.44654823304154,7,1,1
46.46399989887141,7,0,1
46.50087703997269,6,1,1
46.51826494396664,6,0,1
46.5391425578855,5,1,1
46.551844062050804,5,0,1
46.588409401942044,2,1,1
46.60572458291426,2,0,1
46.684321459848434,4,1,1
46.693977899849415,1,0,1
46.71087892795913,4,0,1
46.71149529889226,0,1,1
46.712047938024625,3,1,1
46.73118058196269,3,0,1
46.93898637406528,7,2,1
46.99598100199364,6,2,1
47.035448170034215,5,2,1
47.045546405017376,5,6,2
47.08912081387825,2,6,2
47.17659394303337,4,2,1
47.18659430393018,1,2,1
47.197790106991306,1,6,2
47.19862994598225,4,6,2
47.212047803914174,3,2,1
47.212886802852154,0,2,1
47.23409503791481,0,6,2
47.234931635903195,3,6,2
47.44712510704994,7,6,2
47.466947523877025,7,3,1
47.48446739302017,7,4,1
47.50133761903271,6,3,1
47.519906423054636,6,4,1
47.540451894979924,6,7,2
47.541286723921075,5,3,1
47.553031095070764,5,4,1
47.56514064897783,5,7,2
47.58868307294324,2,3,1
47.60839061695151,2,4,1
47.62773820804432,2,7,2
47.68506743689068,4,3,1
47.69426452089101,1,3,1
47.71068820194341,4,7,2
47.711248280946165,0,3,1
47.71248236298561,3,4,1
47.71375843696296,1,4,1
47.734262868063524,1,7,2
47.73487941897474,3,7,2
47.73548517888412,0,4,1
47.752380166901276,0,7,2
48.08464466803707,2,5,1
48.18470195494592,4,5,1
48.195184202864766,1,5,1
48.20993886701763,0,5,1
48.210527868010104,3,5,1
48.44695688295178,7,5,1
48.501033109845594,6,5,1
56.446927573066205,7,1,1
56.464397307951,7,0,1
56.50160062499344,6,1,1
56.51869254698977,6,0,1
56.54416738497093,5,1,1
56.5624785090331,5,0,1
56.58743735891767,2,1,1
56.60485865199007,2,0,1
56.680163736920804,4,1,1
56.6948463069275,1,0,1
56.6957437179517,4,0,1
56.71031594485976,3,1,1
56.711170244030654,0,1,1
56.72779112984426,3,0,1
56.94671903690323,7,2,1
57.00098218489438,6,2,1
57.044301690068096,5,2,1
57.06451144791208,5,6,2
57.08819206384942,2,6,2
57.184616087935865,4,2,1
57.19467026996426,1,2,1
57.20661818701774,4,6,2
57.21170540084131,0,2,1
57.212537789018825,3,2,1
57.21490265894681,1,6,2
57.23355305404402,3,6,2
57.234384363051504,0,6,2
57.43782582087442,7,6,2
57.44764404487796,7,4,1
57.457884032977745,7,3,1
57.49363928101957,6,4,1
57.505007647909224,6,3,1
57.51495234691538,6,7,2
57.53587980894372,5,4,1
57.547267336864024,5,3,1
57.558281011879444,5,7,2
57.58741568401456,2,4,1
57.608408919069916,2,3,1
57.62827348592691,2,7,2
57.67644612584263,4,3,1
57.68672292586416,4,7,2
57.69422506191768,1,4,1
57.71161332400516,3,4,1
57.712444241857156,0,4,1
57.714567604940385,1,3,1
57.735388953005895,1,7,2
57.73622067202814,0,3,1
57.737015458988026,3,7,2
57.75342649803497,0,7,2
58.08809535205364,2,5,1
58.18470521084964,4,5,1
58.19467932987027,1,5,1
58.21007535397075,3,5,1
58.21084788092412,0,5,1
58.446833373978734,7,5,1
58.50074266898446,6,5,1
66.44680149597116,7,1,1
66.46405322197825,7,0,1
66.50100017595105,6,1,1
66.5188912039157,6,0,1
66.54414242086932,5,1,1
66.56151252100244,5,0,1
66.588048042031,2,1,1
66.60542820184492,2,0,1
66.68435582099482,4,1,1
66.69256699993275,1,0,1
66.7098693670705,4,0,1
66.71342136804014,3,1,1
66.71425495599397,0,1,1
66.73115470004268,3,0,1
66.94673334807158,7,2,1
67.00165722193196,6,2,1
67.04426848795265,5,2,1
67.06384014291689,5,6,2
67.0874767950736,2,6,2
67.18484256998636,4,2,1
67.19497784296982,1,2,1
67.20685219601728,4,6,2
67.21151217492297,3,2,1
67.21235900302418,0,2,1
67.21485221805051,1,6,2
67.23357560392469,0,6,2
67.23413579305634,3,6,2
67.44663998484612,7,6,2
67.4652823668439,7,4,1
67.48520256299525,7,3,1
67.50086211506277,6,4,1
67.52122496603988,6,3,1
67.54222528892569,6,7,2
67.54394852695987,5,4,1
67.56354437302798,5,3,1
67.58446898194961,5,7,2
67.58710326184519,2,4,1
67.60682469094172,2,3,1
67.6258457370568,2,7,2
67.68488589092158,4,3,1
67.69561778497882,1,4,1
67.70770230493508,4,7,2
67.71123319491744,3,4,1
67.71455278806388,0,4,1
67.71728608990088,1,3,1
67.73524427996017,3,7,2
67.73808939685114,1,7,2
67.73986308695748,0,3,1
67.75713901291601,0,7,2
68.08341628499329,2,5,1
68.18460308806971,4,5,1
68.19455043505877,1,5,1
68.21126294205897,3,5,1
68.21187603287399,0,5,1
68.44747704593465,7,5,1
68.50127727189101,6,5,1
76.44671547506005,7,1,1
76.46424689795822,7,0,1
76.50130082201213,6,1,1
76.51924153906293,6,0,1
76.54389309301041,5,1,1
76.56134946388192,5,0,1
76.58751057903282,2,1,1
76.6048902568873,2,0,1
76.68402575491928,4,1,1
76.69233063585125,1,0,1
76.70680838590488,4,0,1
76.71133190905675,3,1,1
76.71188278798945,0,1,1
76.72938359994441,3,0,1
76.94708405598067,7,2,1
77.00136246206239,6,2,1
77.04427175386809,5,2,1
77.06461221189238,5,6,2
77.08767408202402,2,6,2
77.18450976791792,4,2,1
77.19469099189155,1,2,1
77.21196517697535,0,2,1
77.21337539399974,3,2,1
77.21391849289648,4,6,2
77.21527179889381,1,6,2
77.2339095689822,3,6,2
77.23447837796994,0,6,2
77.44644440803677,7,6,2
77.46614563488401,7,3,1
77.48359916592017,7,4,1
77.50177846988663,6,3,1
77.52101133088581,6,4,1
77.54074732889421,6,7,2
77.54596262495033,5,3,1
77.56562068988569,5,4,1
77.58807261986658,5,7,2
77.58971539488994,2,3,1
77.60950042400509,2,4,1
77.6287971069105,2,7,2
77.68474703002721,4,3,1
77.69514251197688,1,3,1
77.71047355001792,4,7,2
77.71134331892245,3,4,1
77.71215568692423,0,3,1
77.71475109504536,1,4,1
77.73442496987991,1,7,2
77.73499648994766,3,7,2
77.73556545889005,0,4,1
77.75231768586673,0,7,2
78.08758361497894,2,5,1
78.18427667487413,4,5,1
78.19439723691903,1,5,1
78.20982919889502,3,5,1
78.21041974890977,0,5,1
78.44691753596999,7,5,1
78.50082803890109,6,5,1
86.44665272906423,7,1,1
86.46389524103142,7,0,1
86.50190847297199,6,1,1
86.51954348804429,6,0,1
86.54396932106465,5,1,1
86.56150834285654,5,0,1
86.58744446793571,2,1,1
86.60468180896714,2,0,1
86.68395200301893,4,1,1
86.69332798896357,1,0,1
86.70782046788372,4,0,1
86.71145620103925,0,1,1
86.71205151104368,3,1,1
86.72985184099525,3,0,1
86.94607143406756,7,2,1
87.00159236602485,6,2,1
87.04479670291767,5,2,1
87.0640890430659,5,6,2
87.0879771290347,2,6,2
87.18680394091643,4,2,1
87.20002218685113,1,2,1
87.20313424104825,3,2,1
87.2068374468945,4,6,2
87.21911222999915,0,2,1
87.21976810204796,3,6,2
87.22325622988865,1,6,2
87.24168570106849,0,6,2
87.44660752103664,7,6,2
87.46532832202502,7,4,1
87.48491077288054,7,3,1
87.50117135094479,6,4,1
87.52156852884218,6,3,1
