observer,target,t_exclusion_s,n_voters,min_voter_r
5,10,13.183589379070327,7,1.0
2,10,13.209790991153568,7,1.0
5,11,13.21030065510422,7,1.0
7,10,13.210775919025764,8,1.0
9,10,13.211245232028887,8,1.0
12,10,13.211717115016654,8,1.0
2,11,13.21250653709285,7,1.0
7,11,13.21307707298547,8,1.0
9,11,13.21365699917078,8,1.0
12,11,13.214721599128097,8,1.0
10,10,13.279282553121448,9,1.0
10,11,13.281502444995567,9,1.0
1,10,13.28302070708014,8,1.0
1,11,13.284554140176624,8,1.0
11,10,13.28682481404394,9,1.0
11,11,13.28964301198721,9,1.0
4,10,13.30086628603749,8,1.0
4,11,13.302236723946407,8,1.0
13,10,13.312942173099145,8,1.0
13,11,13.314652651082724,8,1.0
6,10,13.37339083198458,8,1.0
6,11,13.374698918079957,8,1.0
0,10,13.378984288079664,8,1.0
0,11,13.379954145057127,8,1.0
8,10,13.38317409506999,8,1.0
8,11,13.384519443148747,8,1.0
3,10,13.386123968055472,8,1.0
3,11,13.387525747064501,8,1.0
4,12,15.101247195154428,7,0.825901210308075
13,12,15.170220692176372,8,1.0
6,12,15.1741710731294,8,0.825901210308075
0,12,15.178338699042797,8,0.825901210308075
8,12,15.182935388060287,9,0.825901210308075
5,12,15.183982717106119,9,0.825901210308075
2,12,15.18617966817692,9,0.825901210308075
3,12,15.18760399799794,8,0.825901210308075
12,12,15.193514133105054,11,0.825901210308075
7,12,15.196200238075107,10,0.825901210308075
9,12,15.197470034006983,10,0.825901210308075
1,12,15.28874789411202,10,0.825901210308075
10,12,15.290267565986142,11,0.825901210308075
11,12,15.291517931036651,10,0.9998457431793213
4,13,16.100746730109677,9,1.0
13,13,16.112702033948153,10,1.0
6,13,16.173072770005092,9,1.0
0,13,16.17712463415228,9,1.0
8,13,16.18309926101938,9,1.0
5,13,16.18419072101824,9,1.0
2,13,16.185976980952546,9,1.0
3,13,16.186818944988772,9,1.0
12,13,16.19330864609219,10,1.0
7,13,16.195756593951955,9,1.0
9,13,16.197480221977457,9,1.0
10,13,16.27937829005532,10,1.0
1,13,16.28223870997317,9,1.0
11,13,16.285144231049344,10,1.0
