observer,target,t_exclusion_s,n_voters,min_voter_r
13,12,14.797086307080463,7,1.0
0,11,15.112624319968745,8,1.0
1,12,15.114139083074406,7,1.0
2,11,15.115194942103699,8,1.0
3,11,15.116364805027843,8,1.0
4,11,15.117235559038818,8,1.0
5,11,15.118051622062922,8,1.0
6,12,15.11892019608058,7,1.0
7,11,15.11975219915621,8,1.0
8,11,15.120582112111151,8,1.0
9,12,15.121397665003315,7,1.0
10,12,15.122224128106609,7,1.0
11,12,15.123047741129994,7,1.0
12,12,15.125192620093003,7,1.0
13,11,15.126318861963227,8,1.0
0,12,15.128359938040376,7,1.0
1,11,15.185474468162283,8,1.0
2,12,15.186132217058912,7,1.0
3,12,15.18670012196526,7,1.0
4,12,15.187548195943236,7,1.0
5,12,15.188154213130474,7,1.0
6,11,15.18897909601219,8,1.0
7,12,15.189682075055316,7,1.0
8,12,15.190865978132933,7,1.0
9,11,15.19192289817147,9,1.0
10,11,15.192956926999614,9,1.0
11,11,15.193957315059379,9,1.0
12,11,15.19497122312896,9,1.0
1,10,15.196832125075161,7,1.0
3,10,15.197607835987583,7,1.0
6,10,15.198100100038573,8,1.0
10,10,15.198627354111522,7,1.0
11,10,15.20056404802017,7,1.0
12,10,15.201809803023934,7,1.0
13,10,15.203688696026802,9,1.0
2,10,15.205982420127839,8,1.0
4,10,15.207832221174613,8,1.0
7,10,15.209901188034564,8,1.0
8,10,15.210621948121116,8,1.0
13,13,15.211234036134556,7,1.0
2,13,15.21209208900109,7,1.0
3,13,15.21262393402867,8,1.0
4,13,15.213109288131818,7,1.0
5,10,15.213572771055624,8,1.0
7,13,15.214032663032413,7,1.0
8,13,15.214496046071872,7,1.0
9,10,15.214952489128336,8,1.0
5,13,15.215759721118957,8,1.0
9,13,15.217559501063079,7,1.0
0,10,15.289419792126864,8,1.0
0,13,15.290721188066527,7,1.0
12,13,15.297174838138744,8,1.0
10,13,15.299202754162252,9,1.0
11,13,15.30173313501291,9,1.0
1,13,15.303220176137984,8,1.0
6,13,15.318516721948981,8,1.0
